"","勘定科目","補助科目","10月","11月","12月","1月","2月","3月","4月","5月","6月","7月","8月","9月","決算整理"
"","","アクアリサイクル預託金","0","0","0","0","0","9980","9980","9980","9980","9980","9980","9980","9980"
"投資その他の資産合計","","","0","0","0","0","0","9980","9980","9980","9980","9980","9980","9980","9980"
"固定資産合計","","","49998318","49998318","49998318","49998318","49998318","50643778","50643778","50643778","50643778","50643778","50643778","50643778","48127511"
"繰延資産"
"繰延資産合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"諸口"
"諸口合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"資産の部合計","","","60994385","61133928","60971677","60940112","65318207","65228118","63023719","63035873","63011426","62976486","63915181","65726025","62769468"
"負債の部"
"流動負債"
"仕入債務"
"仕入債務合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"その他流動負債"
"","未払金","","152785","142179","26997","46520","15357","13956","10940","-764","-8829","-8829","-8829","-8829","0"
"","","アメリカン・エキスプレスカードアメリカン・エキスプレス・ビ3","152785","142179","26997","46520","15357","13956","10940","-764","-8829","-8829","-8829","-8829","0"
"","","七十七銀行_ライオンズタワー広瀬ローン","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","未払法人税等","","36000","0","0","0","0","0","0","0","0","0","0","0","72000"
"その他流動負債合計","","","188785","142179","26997","46520","15357","13956","10940","-764","-8829","-8829","-8829","-8829","72000"
"流動負債合計","","","188785","142179","26997","46520","15357","13956","10940","-764","-8829","-8829","-8829","-8829","72000"
"固定負債"
"","長期借入金","","33347673","33254110","33160454","33066704","32972860","32878922","32784890","32690764","32596544","32502230","32502230","32313319","32313319"
"","役員借入金","","27269807","27343118","27352651","27357577","31815462","31815822","29702382","29761442","29761802","29813162","30614022","32667177","32667177"
"","預り敷金","","580000","580000","580000","580000","580000","580000","580000","580000","580000","580000","580000","580000","580000"
"","","ライオンズタワー","500000","500000","500000","500000","500000","500000","500000","500000","500000","500000","500000","500000","500000"
"","","安中原市物件","80000","80000","80000","80000","80000","80000","80000","80000","80000","80000","80000","80000","80000"
"固定負債合計","","","61197480","61177228","61093105","61004281","65368322","65274744","63067272","63032206","62938346","62895392","63696252","65560496","65560496"
"負債の部合計","","","61386265","61319407","61120102","61050801","65383679","65288700","63078212","63031442","62929517","62886563","63687423","65551667","65632496"
"純資産の部"
"株主資本"
"資本金"
"","資本金","","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"資本金合計","","","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"新株式申込証拠金"
"新株式申込証拠金合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"資本剰余金"
"資本剰余金合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"利益剰余金"
"","保険積立金","","0","0","0","0","0","0","0","0","-15000","-20000","-25000","-30000","0"
"","","セーフティ共済","0","0","0","0","0","0","0","0","-15000","-20000","-25000","-30000","0"
"繰越利益剰余金","","","-1391880","-1185479","-1148425","-1110689","-1065472","-1060582","-1054493","-995569","-903091","-890077","-747242","-795642","-3863028"
"（うち当期純利益）","","","109349","315750","352804","390540","435757","440647","446736","505660","598138","611152","753987","705587","-2361799"
"利益剰余金合計","","","-1391880","-1185479","-1148425","-1110689","-1065472","-1060582","-1054493","-995569","-918091","-910077","-772242","-825642","-3863028"
"自己株式"
"自己株式合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"自己株式申込証拠金"
"自己株式申込証拠金合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"株主資本合計","","","-391880","-185479","-148425","-110689","-65472","-60582","-54493","4431","81909","89923","227758","174358","-2863028"
"評価・換算差額等"
"評価・換算差額等合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新株予約権"
"新株予約権合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"純資産の部合計","","","-391880","-185479","-148425","-110689","-65472","-60582","-54493","4431","81909","89923","227758","174358","-2863028"
"負債・純資産の部合計","","","60994385","61133928","60971677","60940112","65318207","65228118","63023719","63035873","63011426","62976486","63915181","65726025","62769468"
