"","勘定科目","補助科目","10月","11月","12月","1月","2月","3月","4月","5月","6月","7月","8月","9月","決算整理"
"資産の部"
"流動資産"
"現金及び預金"
"","現金","","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000"
"","普通預金","","7242791","7406731","1606411","7384912","773889","617683","3855389","5112410","1211418","7439082","578467","889253","889253"
"","","住信SBIネット銀行_代表口座","511126","624538","732159","1034940","250893","253203","486639","480652","609068","716982","1602","582208","582208"
"","","七十七銀行_石巻支店","5408","5408","0","0","0","0","0","0","0","0","0","0","0"
"","","七十七銀行_旭ヶ丘支店","396177","1022267","757765","631597","502390","364480","226570","488660","335750","192840","576865","307045","307045"
"","","住信SBIネット銀行_ハイブリッド預金","6330080","5754518","116487","5718375","20606","0","3142180","4143098","266600","6529260","0","0","0"
"現金及び預金合計","","","8322791","8486731","2686411","8464912","1853889","1697683","4935389","6192410","2291418","8519082","1658467","1969253","1969253"
"売上債権"
"","売掛金","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"売上債権合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"有価証券"
"","有価証券","","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165"
"","","株式会社Appdate","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165"
"","","株式会社はれのこ","80000","80000","80000","80000","80000","80000","80000","80000","80000","80000","80000","80000","80000"
"有価証券合計","","","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165"
"棚卸資産"
"棚卸資産合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"その他流動資産"
"","前払金","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","未収還付税金","","216900","216900","216900","8685","0","0","0","0","0","0","0","0","0"
"","仮払金","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","前払費用","","0","0","0","0","0","0","0","6000","6000","6000","6000","6000","0"
"","預託証拠金","","11773","11773","11773","11773","11773","11773","11773","11773","11773","11773","11773","11773","16532"
"","","bit flyer","1940","1940","1940","1940","1940","1940","1940","1940","1940","1940","1940","1940","1495"
"","","zaif","69","69","69","69","69","69","69","69","69","69","69","69","65"
"","","Bybit","9764","9764","9764","9764","9764","9764","9764","9764","9764","9764","9764","9764","14972"
"","SBI証券","","51438","27041","5665110","63259","11061062","10481719","5039614","3788747","7665292","1402688","9201998","10702056","10263007"
"その他流動資産合計","","","280111","255714","5893783","83717","11072835","10493492","5051387","3806520","7683065","1420461","9219771","10719829","10279539"
"流動資産合計","","","10996067","11135610","10973359","10941794","15319889","14584340","12379941","12392095","12367648","12332708","13271403","15082247","14641957"
"固定資産"
"有形固定資産"
"","建物","","40347610","40347610","40347610","40347610","40347610","40347610","40347610","40347610","40347610","40347610","40347610","40347610","38237633"
"","","ライオンズタワー広瀬建物","37440678","37440678","37440678","37440678","37440678","37440678","37440678","37440678","37440678","37440678","37440678","37440678","36141937"
"","","安中原市建物","2906932","2906932","2906932","2906932","2906932","2906932","2906932","2906932","2906932","2906932","2906932","2906932","2095696"
"","車両運搬具","","0","0","0","0","0","635480","635480","635480","635480","635480","635480","635480","264784"
"","","アクア","0","0","0","0","0","635480","635480","635480","635480","635480","635480","635480","264784"
"","一括償却資産","","106784","106784","106784","106784","106784","106784","106784","106784","106784","106784","106784","106784","71190"
"","土地","","9543924","9543924","9543924","9543924","9543924","9543924","9543924","9543924","9543924","9543924","9543924","9543924","9543924"
"","","安中原市土地","7571544","7571544","7571544","7571544","7571544","7571544","7571544","7571544","7571544","7571544","7571544","7571544","7571544"
"","","ライオンズタワー広瀬土地","1972380","1972380","1972380","1972380","1972380","1972380","1972380","1972380","1972380","1972380","1972380","1972380","1972380"
"有形固定資産合計","","","49998318","49998318","49998318","49998318","49998318","50633798","50633798","50633798","50633798","50633798","50633798","50633798","48117531"
"無形固定資産"
"無形固定資産合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"投資その他の資産"
"","預託金","","0","0","0","0","0","9980","9980","9980","9980","9980","9980","9980","9980"
