"","勘定科目","補助科目","10月","11月","12月","1月","2月","3月","4月","5月","6月","7月","8月","9月","決算整理"
"資産の部"
"流動資産"
"現金及び預金"
"","現金","","1100000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000"
"","普通預金","","683380","1574444","3937684","1320950","1147763","1308299","1468531","1155506","1490921","1387305","1284918","1471560","1471560"
"","","住信SBIネット銀行_代表口座","179542","1057293","3092042","546897","150208","330066","510101","215411","570478","525820","480524","485200","485200"
"","","七十七銀行_石巻支店","185266","304266","640166","613008","837609","825509","813409","801309","789209","777109","765012","752912","752912"
"","","山形銀行","318572","212885","205476","161045","159946","152724","145021","138786","131234","84376","39382","233448","233448"
"現金及び預金合計","","","1783380","2654444","5017684","2400950","2227763","2388299","2548531","2235506","2570921","2467305","2364918","2551560","2551560"
"売上債権"
"","売掛金","","0","0","0","0","250000","250000","250000","250000","250000","250000","250000","0","55000"
"売上債権合計","","","0","0","0","0","250000","250000","250000","250000","250000","250000","250000","0","55000"
"有価証券"
"","有価証券","","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165"
"有価証券合計","","","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165"
"棚卸資産"
"棚卸資産合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"その他流動資産"
"","未収還付税金","","532200","532200","19200","0","0","0","0","0","0","0","0","0","0"
"","前払費用","","0","0","0","0","0","0","0","0","0","0","0","120000","120000"
"","","北中山オフィス","0","0","0","0","0","0","0","0","0","0","0","120000","120000"
"","預託証拠金","","15025676","18880713","10003493","10272162","21777133","21558379","22536429","21672341","19248067","19645418","19693585","20299785","20299785"
"","","bit flyer","709","709","709","709","709","709","709","709","709","709","709","1953","1953"
"","","QUOINEX","0","0","2301","2301","2301","2301","2301","2301","2301","2301","2301","2301","2301"
"","","CoinCheck","1580967","198292","557359","548763","9715429","11239418","9967177","8227863","7828564","8821756","7950125","7993093","7993093"
"","","zaif","50","50","50","50","50","50","50","50","50","50","50","70","70"
"","","Bybit","13443950","18681662","9443074","9720339","12058644","10315901","12566192","13441418","11416443","10820602","11740400","12302368","12302368"
"その他流動資産合計","","","15557876","19412913","10022693","10272162","21777133","21558379","22536429","21672341","19248067","19645418","19693585","20419785","20419785"
"流動資産合計","","","19654421","24380522","17353542","14986277","26568061","26509843","27648125","26471012","24382153","24675888","24621668","25284510","25339510"
"固定資産"
"有形固定資産"
"","車輌運搬具","","81755","81755","81755","81755","81755","81755","81755","81755","81755","81755","81755","0","0"
"有形固定資産合計","","","81755","81755","81755","81755","81755","81755","81755","81755","81755","81755","81755","0","0"
"無形固定資産"
"無形固定資産合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"投資その他の資産"
"","長期前払費用","","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000"
"","敷金","","690000","690000","690000","690000","690000","690000","690000","690000","690000","690000","690000","690000","690000"
"","","北中山オフィス","240000","240000","240000","240000","240000","240000","240000","240000","240000","240000","240000","240000","240000"
"","","ライオンズタワー","450000","450000","450000","450000","450000","450000","450000","450000","450000","450000","450000","450000","450000"
"投資その他の資産合計","","","740000","740000","740000","740000","740000","740000","740000","740000","740000","740000","740000","740000","740000"
"固定資産合計","","","821755","821755","821755","821755","821755","821755","821755","821755","821755","821755","821755","740000","740000"
"繰延資産"
"繰延資産合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"諸口"
"諸口合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"資産の部合計","","","20476176","25202277","18175297","15808032","27389816","27331598","28469880","27292767","25203908","25497643","25443423","26024510","26079510"
"負債の部"
"流動負債"
"仕入債務"
"仕入債務合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"その他流動負債"
"","未払金","","108300","40544","39098","176873","4932","4373","4222","3645","82287","41364","2050","17380","17380"
"","","アメリカン・エキスプレスカードアメリカン・エキスプレス・ビ3","108300","40544","39098","176873","4932","4373","4222","3645","82287","41364","2050","17380","17380"
"","未払消費税","","106900","0","0","0","0","0","0","0","0","0","0","0","0"
