"","勘定科目","補助科目","10月","11月","12月","1月","2月","3月","4月","5月","6月","7月","8月","9月","決算整理"
"","未払法人税等","","82000","0","0","0","0","0","0","0","0","0","0","0","0"
"","法人税等充当金","","0","0","0","0","0","0","0","0","0","0","0","0","506300"
"その他流動負債合計","","","297200","40544","39098","176873","4932","4373","4222","3645","82287","41364","2050","17380","523680"
"流動負債合計","","","297200","40544","39098","176873","4932","4373","4222","3645","82287","41364","2050","17380","523680"
"固定負債"
"","役員借入金","","14379666","19134306","11190848","8539206","18545230","18811554","19054811","19061909","19219181","19220405","19222896","19224120","19224120"
"","預り敷金","","500000","500000","500000","500000","500000","500000","500000","500000","500000","500000","500000","500000","500000"
"固定負債合計","","","14879666","19634306","11690848","9039206","19045230","19311554","19554811","19561909","19719181","19720405","19722896","19724120","19724120"
"負債の部合計","","","15176866","19674850","11729946","9216079","19050162","19315927","19559033","19565554","19801468","19761769","19724946","19741500","20247800"
"純資産の部"
"株主資本"
"資本金"
"","資本金","","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"資本金合計","","","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"新株式申込証拠金"
"新株式申込証拠金合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"資本剰余金"
"資本剰余金合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"利益剰余金"
"繰越利益剰余金","","","4299310","4527427","5445351","5591953","7339654","7015671","7910847","6727213","4402440","4735874","4718477","5283010","4831710"
"（うち当期純利益）","","","853943","1082060","1999984","2146586","3894287","3570304","4465480","3281846","957073","1290507","1273110","1837643","1386343"
"利益剰余金合計","","","4299310","4527427","5445351","5591953","7339654","7015671","7910847","6727213","4402440","4735874","4718477","5283010","4831710"
"自己株式"
"自己株式合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"自己株式申込証拠金"
"自己株式申込証拠金合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"株主資本合計","","","5299310","5527427","6445351","6591953","8339654","8015671","8910847","7727213","5402440","5735874","5718477","6283010","5831710"
"評価・換算差額等"
"評価・換算差額等合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新株予約権"
"新株予約権合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"純資産の部合計","","","5299310","5527427","6445351","6591953","8339654","8015671","8910847","7727213","5402440","5735874","5718477","6283010","5831710"
"負債・純資産の部合計","","","20476176","25202277","18175297","15808032","27389816","27331598","28469880","27292767","25203908","25497643","25443423","26024510","26079510"
