"","勘定科目","補助科目","10月","11月","12月","1月","2月","3月","4月","5月","6月","7月","8月","9月","決算整理"
"流動負債合計","","","588159","11949","18916","44183","21716","34037642","34063407","34248794","34374597","33827467","33570401","33571048","33598219"
"固定負債"
"","役員借入金","","19224480","15257830","9878490","9900850","9955210","14017919","14058419","24685064","31685424","32105226","31128776","26930016","26930016"
"","預り敷金","","500000","500000","500000","500000","500000","500000","500000","500000","500000","500000","580000","580000","580000"
"","","ライオンズタワー","500000","500000","500000","500000","500000","500000","500000","500000","500000","500000","500000","500000","500000"
"","","安中原市物件","0","0","0","0","0","0","0","0","0","0","80000","80000","80000"
"","","補助科目なし","0","0","0","0","0","0","0","0","0","0","0","0","0"
"固定負債合計","","","19724480","15757830","10378490","10400850","10455210","14517919","14558419","25185064","32185424","32605226","31708776","27510016","27510016"
"負債の部合計","","","20312639","15769779","10397406","10445033","10476926","48555561","48621826","59433858","66560021","66432693","65279177","61081064","61108235"
"純資産の部"
"株主資本"
"資本金"
"","資本金","","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"資本金合計","","","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"新株式申込証拠金"
"新株式申込証拠金合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"資本剰余金"
"資本剰余金合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"利益剰余金"
"繰越利益剰余金","","","5179487","3198910","2251892","1022711","993975","10598","66062","-680811","-971883","-1306713","-739896","-545916","-1501229"
"（うち当期純利益）","","","347777","-1632800","-2579818","-3808999","-3837735","-4821112","-4765648","-5512521","-5803593","-6138423","-5571606","-5377626","-6332939"
"利益剰余金合計","","","5179487","3198910","2251892","1022711","993975","10598","66062","-680811","-971883","-1306713","-739896","-545916","-1501229"
"自己株式"
"自己株式合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"自己株式申込証拠金"
"自己株式申込証拠金合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"株主資本合計","","","6179487","4198910","3251892","2022711","1993975","1010598","1066062","319189","28117","-306713","260104","454084","-501229"
"評価・換算差額等"
"評価・換算差額等合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新株予約権"
"新株予約権合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"純資産の部合計","","","6179487","4198910","3251892","2022711","1993975","1010598","1066062","319189","28117","-306713","260104","454084","-501229"
"負債・純資産の部合計","","","26492126","19968689","13649298","12467744","12470901","49566159","49687888","59753047","66588138","66125980","65539281","61535148","60607006"
