"","勘定科目","補助科目","10月","11月","12月","1月","2月","3月","4月","5月","6月","7月","8月","9月","決算整理","合計"
"売上高"
"","賃料収入","","250000","250000","250000","626000","250000","250000","250000","250000","269600","250000","344000","250000","0","3489600"
"","","ライオンズタワー広瀬","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","0","3000000"
"","","きたかみ腎クリニック","0","0","0","376000","0","0","0","0","19600","0","94000","0","0","489600"
"","売上高","","0","0","0","0","0","55000","0","0","700","0","0","0","0","55700"
"売上高合計","","","250000","250000","250000","626000","250000","305000","250000","250000","270300","250000","344000","250000","0","3545300"
"売上原価"
"","衛生費","","0","0","0","66000","0","0","0","0","0","0","0","0","0","66000"
"","管理費","","34470","34470","34470","34960","34960","34960","34960","34960","34960","34960","34960","34960","0","418050"
"","","ライオンズタワー広瀬","34470","34470","34470","34960","34960","34960","34960","34960","34960","34960","34960","34960","0","418050"
"売上原価合計","","","34470","34470","34470","100960","34960","34960","34960","34960","34960","34960","34960","34960","0","484050"
"売上総利益","","","215530","215530","215530","525040","215040","270040","215040","215040","235340","215040","309040","215040","0","3061250"
"販売費及び一般管理費"
"","減価償却費","","0","0","0","0","0","0","0","0","0","0","0","0","2410354","2410354"
"","消耗品費","","0","0","764","0","0","0","0","0","28883","0","0","0","0","29647"
"","租税公課","","57000","50000","0","10831","0","0","53900","154600","0","0","0","0","0","326331"
"","","自動車税","0","0","0","0","0","0","0","34500","0","0","0","0","0","34500"
"","","登録免許税","0","0","0","10831","0","0","0","0","0","0","0","0","0","10831"
"","","固定資産税","57000","50000","0","0","0","0","53900","120100","0","0","0","0","0","281000"
"","保険料","","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","56900","0","111900"
"","","セーフティ共済","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","5000","0","60000"
"","","プルデンシャル生命","0","0","0","0","0","0","0","0","0","0","0","51900","0","51900"
"","通信費","","16822","18719","19309","46690","19557","14668","14357","14024","110523","-14661","7031","20205","0","287244"
"","","IIJ","4835","4984","1941","1853","2044","2449","1966","2060","1930","2064","2161","2087","0","30374"
"","","Google","1795","2895","1795","3590","1795","1795","1795","1795","1795","1795","2013","1687","0","24545"
"","","AWS","9832","10480","10544","10770","9358","7750","7935","7576","7707","1011","230","231","0","83424"
"","","exchangerAPI","0","0","4669","2390","0","2314","2301","2233","98731","-79027","2267","0","0","35878"
"","","trading view","0","0","0","27727","0","0","0","0","0","0","0","0","0","27727"
"","","money forward","0","0","0","0","0","0","0","0","0","59136","0","0","0","59136"
"","","Dropbox","0","0","0","0","0","0","0","0","0","0","0","15840","0","15840"
"","","スマート留守電","360","360","360","360","360","360","360","360","360","360","360","360","0","4320"
"","","Eightプレミアム","0","0","0","0","6000","0","0","0","0","0","0","0","0","6000"
"","諸会費","","0","0","600","600","600","600","600","-264","0","0","0","0","0","2736"
"","備品・消耗品費","","0","0","78444","0","37798","0","0","0","37347","0","0","40955","0","194544"
"","新聞図書費","","0","0","0","0","0","0","3300","0","0","0","0","0","0","3300"
"","支払手数料","","0","145","0","290","0","0","0","0","0","145","0","145","0","725"
"","支払報酬","","11000","11000","110000","56004","0","0","0","0","0","0","0","0","0","188004"
"","","K2税理士法人","0","0","0","22000","0","0","0","0","0","0","0","0","0","22000"
"","","前嶋司法書士","0","0","0","34004","0","0","0","0","0","0","0","0","0","34004"
"","","補助科目なし","11000","11000","110000","0","0","0","0","0","0","0","0","0","0","132000"
"販売費及び一般管理費合計","","","89822","84864","214117","119415","62955","20268","77157","173360","181753","-9516","12031","118205","2410354","3554785"
"営業利益","","","125708","130666","1413","405625","152085","249772","137883","41680","53587","224556","297009","96835","-2410354","-493535"
"営業外収益"
"","受取利息","","453","141","84","29","290","471","995","874","1226","908","633","208","0","6312"
"","雑収入","","7740","0","0","808","29","495","124","159","120","1966","0","483","0","11924"
"営業外収益合計","","","8193","141","84","837","319","966","1119","1033","1346","2874","633","691","0","18236"
"営業外費用"
"","支払利息","","32313","0","32218","64153","31934","31839","31744","0","31649","63815","0","62630","0","382295"
"","","七十七銀行_ライオンズタワー広瀬ローン","32313","0","32218","64153","31934","31839","31744","0","31649","63815","0","62630","0","382295"
"","有価証券売却損","","0","0","0","0","0","0","0","0","0","0","0","0","7548","7548"
"営業外費用合計","","","32313","0","32218","64153","31934","31839","31744","0","31649","63815","0","62630","7548","389843"
"経常利益","","","101588","130807","-30721","342309","120470","218899","107258","42713","23284","163615","297642","34896","-2417902","-865142"
"特別利益"
"特別利益合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"特別損失"
"特別損失合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期純損益"
"税引前当期純利益","","","101588","130807","-30721","342309","120470","218899","107258","42713","23284","163615","297642","34896","-2417902","-865142"
"","法人税等","","0","0","0","0","0","0","0","0","0","0","0","0","72000","72000"
"当期純利益","","","101588","130807","-30721","342309","120470","218899","107258","42713","23284","163615","297642","34896","-2489902","-937142"
