"","勘定科目","補助科目","10月","11月","12月","1月","2月","3月","4月","5月","6月","7月","8月","9月","決算整理","合計"
"売上高"
"","賃料収入","","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","250000","0","3000000"
"","売上高","","0","110710","130000","160000","180000","110000","130000","100000","120000","50000","120000","85000","120000","1415710"
"売上高合計","","","250000","360710","380000","410000","430000","360000","380000","350000","370000","300000","370000","335000","120000","4415710"
"売上原価"
"売上原価合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"売上総利益","","","250000","360710","380000","410000","430000","360000","380000","350000","370000","300000","370000","335000","120000","4415710"
"販売費及び一般管理費"
"","減価償却費","","0","0","0","0","0","0","0","0","0","0","0","0","54502","54502"
"","賃借料","","443182","334091","334091","334091","334091","334091","334091","334091","334091","334091","334091","225000","0","4009092"
"","消耗品費","","0","0","2487","71146","71294","0","7135","103574","4500","0","1203","5361","0","266700"
"","旅費交通費","","24659","6156","13193","10947","0","3455","4964","10347","17493","18201","3600","11557","0","124572"
"","租税公課","","0","0","0","25800","0","0","0","34500","0","0","0","0","261684","321984"
"","","諸口","0","0","0","0","0","0","0","0","0","0","0","0","261684","261684"
"","","印紙代","0","0","0","1200","0","0","0","0","0","0","0","0","0","1200"
"","","自動車税","0","0","0","24600","0","0","0","34500","0","0","0","0","0","59100"
"","接待交際費","","31400","9182","0","0","0","0","0","19173","35419","70592","0","0","0","165766"
"","保険料","","0","0","0","21550","0","0","134070","0","0","0","0","0","0","155620"
"","通信費","","10145","9906","9834","9686","11179","9937","9242","10775","44541","8393","10025","9704","0","153367"
"","諸会費","","0","0","0","0","0","0","0","0","35455","0","0","0","0","35455"
"","車両費","","4892","0","17016","63053","2730","0","0","367276","6080","12171","10349","0","0","483567"
"","新聞図書費","","0","680","0","0","0","0","0","2566","0","0","0","10457","0","13703"
"","支払手数料","","12502","12502","132412","46024","12366","12782","13244","13426","12690","12502","12640","14875","0","307965"
"","会議費","","5755","0","18110","0","11455","0","0","15338","16747","34359","0","0","0","101764"
"販売費及び一般管理費合計","","","532535","372517","527143","582297","443115","360265","502746","911066","507016","490309","371908","276954","316186","6194057"
"営業利益","","","-282535","-11807","-147143","-172297","-13115","-265","-122746","-561066","-137016","-190309","-1908","58046","-196186","-1778347"
"営業外収益"
"","受取利息","","1","1","0","3","4","0","0","1","0","3","4","0","0","17"
"","雑収入","","0","0","0","0","0","0","0","0","0","0","0","0","256","256"
"","為替差益","","0","0","0","731211","984562","6185480","664374","831878","0","0","6844864","892629","0","17134998"
"","","QUOINEX","0","0","0","0","0","0","0","0","0","0","6844864","0","0","6844864"
"","","CoinCheck","0","0","0","731211","984562","6185480","664374","831878","0","0","0","892629","0","10290134"
"営業外収益合計","","","1","1","0","731214","984566","6185480","664374","831879","0","3","6844868","892629","256","17135271"
"営業外費用"
"","為替差損","","0","0","443","384946","485622","5583669","0","0","526142","582455","6872722","630551","0","15066550"
"","","THEO","0","0","443","0","0","0","0","0","0","0","0","0","0","443"
"","","QUOINEX","0","0","0","0","0","0","0","0","0","0","0","630551","0","630551"
"","","CoinCheck","0","0","0","0","0","0","0","0","526142","582455","6872722","0","0","7981319"
"","","bit flyer","0","0","0","0","0","4369291","0","0","0","0","0","0","0","4369291"
"","","TAOTAO","0","0","0","384946","485622","1214378","0","0","0","0","0","0","0","2084946"
"営業外費用合計","","","0","0","443","384946","485622","5583669","0","0","526142","582455","6872722","630551","0","15066550"
"経常利益","","","-282534","-11806","-147586","173971","485829","601546","541628","270813","-663158","-772761","-29762","320124","-195930","290374"
"特別利益"
"特別利益合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"特別損失"
"特別損失合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期純損益"
"税引前当期純利益","","","-282534","-11806","-147586","173971","485829","601546","541628","270813","-663158","-772761","-29762","320124","-195930","290374"
"","法人税等","","0","0","0","0","0","0","0","387200","0","135000","0","0","-450200","72000"
"当期純利益","","","-282534","-11806","-147586","173971","485829","601546","541628","-116387","-663158","-907761","-29762","320124","254270","218374"
