"","勘定科目","補助科目","10月","11月","12月","1月","2月","3月","4月","5月","6月","7月","8月","9月","決算整理"
"","","アクアリサイクル預託金","9980","9980","9980","9980","9980","9980","9980","9980","9980","9980","9980","9980","9980"
"投資その他の資産合計","","","9980","9980","9980","9980","9980","9980","9980","9980","9980","9980","9980","2403145","2403145"
"固定資産合計","","","48127511","48127511","48127511","48127511","48127511","48127511","48127511","48127511","48127511","48127511","48127511","50520676","48110322"
"繰延資産"
"繰延資産合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"諸口"
"諸口合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"資産の部合計","","","53843819","54024986","52123046","57152103","57730518","57817614","57887438","58080520","58171347","53822712","56495224","54982163","52593099"
"負債の部"
"流動負債"
"仕入債務"
"仕入債務合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"その他流動負債"
"","未払金","","0","0","80865","2990","49551","12459","15931","12019","145580","-76221","-71711","-28838","0"
"","","UPSIDER","0","0","80865","2990","49551","12459","15931","12019","145580","-76221","-71711","-28838","0"
"","前受金","","0","0","0","0","0","0","0","0","0","0","470000","470000","470000"
"","預り金","","0","0","0","2135","2135","2135","2135","2135","2135","0","0","0","0"
"","","所得税","0","0","0","2135","2135","2135","2135","2135","2135","0","0","0","0"
"","未払法人税等","","72000","0","0","0","0","0","0","0","0","0","0","0","72000"
"その他流動負債合計","","","72000","0","80865","5125","51686","14594","18066","14154","147715","-76221","398289","441162","542000"
"流動負債合計","","","72000","0","80865","5125","51686","14594","18066","14154","147715","-76221","398289","441162","542000"
"固定負債"
"","長期借入金","","32218722","32218722","32124030","31934363","31839387","31744316","31649150","31649150","31553889","31363080","31363080","31171890","31171890"
"","役員借入金","","23734537","23856897","21999505","26951660","27458020","27458380","27512640","27666921","27696164","23598659","25499019","24099379","24099379"
"","預り敷金","","580000","580000","580000","580000","580000","580000","580000","580000","580000","580000","580000","580000","580000"
"","","ライオンズタワー","500000","500000","500000","500000","500000","500000","500000","500000","500000","500000","500000","500000","500000"
"","","安中原市物件","80000","80000","80000","80000","80000","80000","80000","80000","80000","80000","80000","80000","80000"
"固定負債合計","","","56533259","56655619","54703535","59466023","59877407","59782696","59741790","59896071","59830053","55541739","57442099","55851269","55851269"
"負債の部合計","","","56605259","56655619","54784400","59471148","59929093","59797290","59759856","59910225","59977768","55465518","57840388","56292431","56393269"
"純資産の部"
"株主資本"
"資本金"
"","資本金","","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"資本金合計","","","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"新株式申込証拠金"
"新株式申込証拠金合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"資本剰余金"
"資本剰余金合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"利益剰余金"
"繰越利益剰余金","","","-3761440","-3630633","-3661354","-3319045","-3198575","-2979676","-2872418","-2829705","-2806421","-2642806","-2345164","-2310268","-4800170"
"（うち当期純利益）","","","101588","232395","201674","543983","664453","883352","990610","1033323","1056607","1220222","1517864","1552760","-937142"
"利益剰余金合計","","","-3761440","-3630633","-3661354","-3319045","-3198575","-2979676","-2872418","-2829705","-2806421","-2642806","-2345164","-2310268","-4800170"
"自己株式"
"自己株式合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"自己株式申込証拠金"
"自己株式申込証拠金合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"株主資本合計","","","-2761440","-2630633","-2661354","-2319045","-2198575","-1979676","-1872418","-1829705","-1806421","-1642806","-1345164","-1310268","-3800170"
"評価・換算差額等"
"評価・換算差額等合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新株予約権"
"新株予約権合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"純資産の部合計","","","-2761440","-2630633","-2661354","-2319045","-2198575","-1979676","-1872418","-1829705","-1806421","-1642806","-1345164","-1310268","-3800170"
"負債・純資産の部合計","","","53843819","54024986","52123046","57152103","57730518","57817614","57887438","58080520","58171347","53822712","56495224","54982163","52593099"
