"","勘定科目","補助科目","10月","11月","12月","1月","2月","3月","4月","5月","6月","7月","8月","9月","決算整理"
"資産の部"
"流動資産"
"現金及び預金"
"","現金","","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000","1080000"
"","普通預金","","2073556","1126451","523133","1462174","764536","888224","2798806","6388657","3051746","2227651","313377","557063","557063"
"","","住信SBIネット銀行_代表口座","789041","236107","106908","854769","288842","507401","708212","905509","427159","537301","102832","5338","5338"
"","","七十七銀行_旭ヶ丘支店","174135","658135","416225","607405","475694","343784","211874","206874","74964","215340","210545","551725","551725"
"","","住信SBIネット銀行_ハイブリッド預金","1110380","232209","0","0","0","37039","1878720","5276274","2549623","1475010","0","0","0"
"現金及び預金合計","","","3153556","2206451","1603133","2542174","1844536","1968224","3878806","7468657","4131746","3307651","1393377","1637063","1637063"
"売上債権"
"売上債権合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"有価証券"
"","有価証券","","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165","0","0"
"","","株式会社Appdate","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","0","0"
"","","株式会社はれのこ","80000","80000","80000","80000","80000","80000","80000","80000","80000","80000","80000","0","0"
"有価証券合計","","","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165","2393165","0","0"
"棚卸資産"
"棚卸資産合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"その他流動資産"
"","仮払税金","","68","89","100","104","147","218","369","501","688","826","922","953","0"
"","未収還付法人税等","","0","0","0","0","0","0","0","0","0","0","0","0","953"
"","前払費用","","0","0","0","0","0","0","0","0","0","0","0","0","28838"
"","預託証拠金","","16532","16532","16532","16532","16532","16532","16532","16532","16532","16532","16532","16532","16532"
"","","bit flyer","1495","1495","1495","1495","1495","1495","1495","1495","1495","1495","1495","1495","1495"
"","","zaif","65","65","65","65","65","65","65","65","65","65","65","65","65"
"","","Bybit","14972","14972","14972","14972","14972","14972","14972","14972","14972","14972","14972","14972","14972"
"","SBI証券","","152987","1281238","-17395","4072617","5348627","5311964","3471055","74154","3501705","-22973","4563717","2806939","2799391"
"その他流動資産合計","","","169587","1297859","-763","4089253","5365306","5328714","3487956","91187","3518925","-5615","4581171","2824424","2845714"
"流動資産合計","","","5716308","5897475","3995535","9024592","9603007","9690103","9759927","9953009","10043836","5695201","8367713","4461487","4482777"
"固定資産"
"有形固定資産"
"","建物","","38237633","38237633","38237633","38237633","38237633","38237633","38237633","38237633","38237633","38237633","38237633","38237633","36127656"
"","","ライオンズタワー広瀬建物","36141937","36141937","36141937","36141937","36141937","36141937","36141937","36141937","36141937","36141937","36141937","36141937","34843196"
"","","安中原市建物","2095696","2095696","2095696","2095696","2095696","2095696","2095696","2095696","2095696","2095696","2095696","2095696","1284460"
"","車両運搬具","","264784","264784","264784","264784","264784","264784","264784","264784","264784","264784","264784","264784","1"
"","","アクア","264784","264784","264784","264784","264784","264784","264784","264784","264784","264784","264784","264784","1"
"","一括償却資産","","71190","71190","71190","71190","71190","71190","71190","71190","71190","71190","71190","71190","35596"
"","土地","","9543924","9543924","9543924","9543924","9543924","9543924","9543924","9543924","9543924","9543924","9543924","9543924","9543924"
"","","安中原市土地","7571544","7571544","7571544","7571544","7571544","7571544","7571544","7571544","7571544","7571544","7571544","7571544","7571544"
"","","ライオンズタワー広瀬土地","1972380","1972380","1972380","1972380","1972380","1972380","1972380","1972380","1972380","1972380","1972380","1972380","1972380"
"有形固定資産合計","","","48117531","48117531","48117531","48117531","48117531","48117531","48117531","48117531","48117531","48117531","48117531","48117531","45707177"
"無形固定資産"
"無形固定資産合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"投資その他の資産"
"","投資有価証券","","0","0","0","0","0","0","0","0","0","0","0","2393165","2393165"
"","","株式会社Appdate","0","0","0","0","0","0","0","0","0","0","0","2313165","2313165"
"","","株式会社はれのこ","0","0","0","0","0","0","0","0","0","0","0","80000","80000"
"","預託金","","9980","9980","9980","9980","9980","9980","9980","9980","9980","9980","9980","9980","9980"
