"","勘定科目","補助科目","10月","11月","12月","1月","2月","3月","4月","5月","6月","7月","8月","9月","決算整理","合計"
"売上高"
"","賃料収入","","250000","250000","250000","250000","250000","250000","250000","0","500000","250000","250000","250000","0","3000000"
"","売上高","","0","55000","132000","55000","132000","55000","55000","55000","55000","55000","55000","55000","55000","814000"
"売上高合計","","","250000","305000","382000","305000","382000","305000","305000","55000","555000","305000","305000","305000","55000","3814000"
"売上原価"
"売上原価合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"売上総利益","","","250000","305000","382000","305000","382000","305000","305000","55000","555000","305000","305000","305000","55000","3814000"
"販売費及び一般管理費"
"","賃借料","","465000","345000","345000","345000","345000","345000","345000","345000","345000","345000","345000","225000","0","4140000"
"","消耗品費","","98800","28050","0","3599","0","36002","11496","5874","2279","0","0","17198","0","203298"
"","接待交際費","","0","24541","26433","19090","0","0","0","0","0","0","0","0","0","70064"
"","通信費","","10688","13120","9671","10912","16047","10492","11632","9463","49042","9708","10091","10091","0","170957"
"","諸会費","","0","0","0","0","0","0","0","0","41200","0","0","0","0","41200"
"","車両費","","0","0","15840","0","0","0","0","0","0","0","0","0","0","15840"
"","新聞図書費","","864","864","3856","864","864","4962","3101","864","4633","864","2131","864","0","24731"
"","支払手数料","","13200","13490","178490","49403","13490","13345","13345","13345","13345","13345","13345","13490","0","361633"
"","会議費","","4980","6855","10053","0","0","0","3300","0","0","0","0","0","0","25188"
"","雑費","","0","0","0","0","571","428","0","0","0","0","0","0","0","999"
"販売費及び一般管理費合計","","","593532","431920","589343","428868","375972","410229","387874","374546","455499","368917","370567","266643","0","5053910"
"営業利益","","","-343532","-126920","-207343","-123868","6028","-105229","-82874","-319546","99501","-63917","-65567","38357","55000","-1239910"
"営業外収益"
"","受取利息","","0","0","2","1","2","0","0","0","0","0","3","0","0","8"
"","雑収入","","0","0","0","1800","6700","0","0","0","0","0","0","1731","0","10231"
"","為替差益","","13443950","5237712","20361552","277265","2338305","1523989","2250291","875226","0","993192","919798","609928","0","48831208"
"","","CoinCheck","0","0","20361552","0","0","1523989","0","0","0","993192","0","46696","0","22925429"
"","","bit flyer","0","0","0","0","0","0","0","0","0","0","0","1244","0","1244"
"","","zaif","0","0","0","0","0","0","0","0","0","0","0","20","0","20"
"","","Bybit","13443950","5237712","0","277265","2338305","0","2250291","875226","0","0","919798","561968","0","25904515"
"営業外収益合計","","","13443950","5237712","20361554","279066","2345007","1523989","2250291","875226","0","993192","919801","611659","0","48841447"
"営業外費用"
"","為替差損","","12246475","4882675","19236287","8596","833334","1742743","1272241","1739314","2424274","595841","871631","3728","0","45857139"
"","","QUOINEX","0","0","9997699","0","0","0","0","0","0","0","0","0","0","9997699"
"","","CoinCheck","12246475","4882675","0","8596","833334","0","1272241","1739314","399299","0","871631","3728","0","22257293"
"","","Bybit","0","0","9238588","0","0","1742743","0","0","2024975","595841","0","0","0","13602147"
"営業外費用合計","","","12246475","4882675","19236287","8596","833334","1742743","1272241","1739314","2424274","595841","871631","3728","0","45857139"
"経常利益","","","853943","228117","917924","146602","1517701","-323983","895176","-1183634","-2324773","333434","-17397","646288","55000","1744398"
"特別利益"
"","固定資産売却益","","0","0","0","0","230000","0","0","0","0","0","0","-81755","0","148245"
"特別利益合計","","","0","0","0","0","230000","0","0","0","0","0","0","-81755","0","148245"
"特別損失"
"特別損失合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期純損益"
"税引前当期純利益","","","853943","228117","917924","146602","1747701","-323983","895176","-1183634","-2324773","333434","-17397","564533","55000","1892643"
"","法人税等","","0","0","0","0","0","0","0","0","0","0","0","0","506300","506300"
"当期純利益","","","853943","228117","917924","146602","1747701","-323983","895176","-1183634","-2324773","333434","-17397","564533","-451300","1386343"
