"","勘定科目","補助科目","10月","11月","12月","1月","2月","3月","4月","5月","6月","7月","8月","9月","決算整理"
"資産の部"
"流動資産"
"現金及び預金"
"","現金","","1100000","1100000","1100000","1100000","1100000","1100000","1100000","1100000","1100000","1100000","1100000","1100000","1100000"
"","普通預金","","2487933","1354884","948508","1000190","1093186","570126","2306013","618759","5614512","5370112","643870","850597","850597"
"","","住信SBIネット銀行_代表口座","1883246","704974","338040","444273","560823","117226","2027565","384025","5415898","5070678","101853","327661","327661"
"","","七十七銀行_石巻支店","426293","477193","333093","284935","272836","260736","114566","80766","68666","221566","209466","197366","197366"
"","","山形銀行","178394","172717","277375","270982","259527","192164","163882","153968","129948","77868","332551","325570","325570"
"現金及び預金合計","","","3587933","2454884","2048508","2100190","2193186","1670126","3406013","1718759","6714512","6470112","1743870","1950597","1950597"
"売上債権"
"","売掛金","","0","0","0","0","0","0","0","0","0","0","0","0","132000"
"売上債権合計","","","0","0","0","0","0","0","0","0","0","0","0","0","132000"
"有価証券"
"","有価証券","","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165"
"有価証券合計","","","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165","2313165"
"棚卸資産"
"棚卸資産合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"その他流動資産"
"","未収還付税金","","0","0","0","0","0","0","0","0","0","0","0","0","532200"
"","仮払消費税","","30745","45492","75698","106684","128490","142011","156370","221510","249704","276227","290912","296098","0"
"","前払費用","","0","0","0","0","0","0","0","0","0","0","0","240000","240000"
"","","北中山オフィス","0","0","0","0","0","0","0","0","0","0","0","240000","240000"
"","預託証拠金","","112856","112856","10000285","4615339","15004279","23669267","24674539","21758572","11231788","10649333","23421475","8828201","8828201"
"","","THEO","112806","112806","235","235","235","235","235","235","0","0","0","0","0"
"","","bit flyer","0","0","0","0","4370000","709","709","709","709","709","709","709","709"
"","","QUOINEX","0","0","0","0","0","0","0","0","0","0","6844864","0","0"
"","","CoinCheck","0","0","5000000","0","6504562","20753219","24673545","21757578","11231029","10648574","16575852","8827442","8827442"
"","","zaif","50","50","50","50","50","50","50","50","50","50","50","50","50"
"","","TAOTAO","0","0","5000000","4615054","4129432","2915054","0","0","0","0","0","0","0"
"その他流動資産合計","","","143601","158348","10075983","4722023","15132769","23811278","24830909","21980082","11481492","10925560","23712387","9364299","9600401"
"流動資産合計","","","6044699","4926397","14437656","9135378","19639120","27794569","30550087","26012006","20509169","19708837","27769422","13628061","13996163"
"固定資産"
"有形固定資産"
"","車輌運搬具","","136257","136257","136257","136257","136257","136257","136257","136257","136257","136257","136257","136257","81755"
"有形固定資産合計","","","136257","136257","136257","136257","136257","136257","136257","136257","136257","136257","136257","136257","81755"
"無形固定資産"
"無形固定資産合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"投資その他の資産"
"","長期前払費用","","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000","50000"
"","敷金","","690000","690000","690000","690000","690000","690000","690000","690000","690000","690000","690000","690000","690000"
"","","北中山オフィス","240000","240000","240000","240000","240000","240000","240000","240000","240000","240000","240000","240000","240000"
"","","ライオンズタワー","450000","450000","450000","450000","450000","450000","450000","450000","450000","450000","450000","450000","450000"
"投資その他の資産合計","","","740000","740000","740000","740000","740000","740000","740000","740000","740000","740000","740000","740000","740000"
"固定資産合計","","","876257","876257","876257","876257","876257","876257","876257","876257","876257","876257","876257","876257","821755"
"繰延資産"
"繰延資産合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"諸口"
"諸口合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"資産の部合計","","","6920956","5802654","15313913","10011635","20515377","28670826","31426344","26888263","21385426","20585094","28645679","14504318","14817918"
"負債の部"
"流動負債"
"仕入債務"
"仕入債務合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"その他流動負債"
"","未払金","","8351","10167","12864","17639","91949","31052","16482","28689","93701","47279","10283","10189","10189"
"","","アメリカン・エキスプレスカードアメリカン・エキスプレス・ビ3","8351","10167","12864","17639","91949","31052","16482","28689","93701","47279","10283","10189","10189"
