"","勘定科目","補助科目","10月","11月","12月","1月","2月","3月","4月","5月","6月","7月","8月","9月","決算整理"
"","","アメリカン・エキスプレスカードアメリカン・エキスプレス・ビジ","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","未払消費税","","0","0","0","0","0","0","0","0","0","0","0","0","106900"
"","未払法人税等","","0","0","0","0","0","0","0","0","0","0","0","0","82000"
"","仮受消費税","","0","11070","24070","40070","58070","69070","82070","92070","104070","109070","121070","129570","0"
"","法人税等充当金","","1137000","0","0","0","0","0","0","0","0","0","0","0","0"
"その他流動負債合計","","","1145351","21237","36934","57709","150019","100122","98552","120759","197771","156349","131353","139759","199089"
"流動負債合計","","","1145351","21237","36934","57709","150019","100122","98552","120759","197771","156349","131353","139759","199089"
"固定負債"
"","役員借入金","","1331146","1348764","10991912","5494888","15420491","23024291","25239751","20795850","15879159","16028010","24143353","9673462","9673462"
"","預り敷金","","500000","500000","500000","500000","500000","500000","500000","500000","500000","500000","500000","500000","500000"
"固定負債合計","","","1831146","1848764","11491912","5994888","15920491","23524291","25739751","21295850","16379159","16528010","24643353","10173462","10173462"
"負債の部合計","","","2976497","1870001","11528846","6052597","16070510","23624413","25838303","21416609","16576930","16684359","24774706","10313221","10372551"
"純資産の部"
"株主資本"
"資本金"
"","資本金","","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"資本金合計","","","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"新株式申込証拠金"
"新株式申込証拠金合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"資本剰余金"
"資本剰余金合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"利益剰余金"
"繰越利益剰余金","","","2944459","2932653","2785067","2959038","3444867","4046413","4588041","4471654","3808496","2900735","2870973","3191097","3445367"
"（うち当期純利益）","","","-282534","-294340","-441926","-267955","217874","819420","1361048","1244661","581503","-326258","-356020","-35896","218374"
"利益剰余金合計","","","2944459","2932653","2785067","2959038","3444867","4046413","4588041","4471654","3808496","2900735","2870973","3191097","3445367"
"自己株式"
"自己株式合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"自己株式申込証拠金"
"自己株式申込証拠金合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"株主資本合計","","","3944459","3932653","3785067","3959038","4444867","5046413","5588041","5471654","4808496","3900735","3870973","4191097","4445367"
"評価・換算差額等"
"評価・換算差額等合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新株予約権"
"新株予約権合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"純資産の部合計","","","3944459","3932653","3785067","3959038","4444867","5046413","5588041","5471654","4808496","3900735","3870973","4191097","4445367"
"負債・純資産の部合計","","","6920956","5802654","15313913","10011635","20515377","28670826","31426344","26888263","21385426","20585094","28645679","14504318","14817918"
