"月次推移：損益計算書_株式会社Appdate（期間：2025年04月～2026年03月、表示単位：円）"
"","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","2026-03","期間累計"
"売上高","","","","","","","","","","","","",""
"売上高","686950","860586","528826","980266","671826","710286","651883","1253336","1633138","908294","788058","700008","10373457"
"売上高 計","686950","860586","528826","980266","671826","710286","651883","1253336","1633138","908294","788058","700008","10373457"
"売上原価","","","","","","","","","","","","",""
"売上原価","220000","514250","390500","396000","497200","524975","482487","497475","743050","668525","582175","516725","6033362"
"期首商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期商品仕入","220000","514250","390500","396000","497200","524975","482487","497475","743050","668525","582175","516725","6033362"
"外注費（売上原価）","220000","514250","390500","396000","497200","524975","482487","497475","743050","668525","582175","516725","6033362"
"他勘定振替高(商)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"期末商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"商品売上原価","220000","514250","390500","396000","497200","524975","482487","497475","743050","668525","582175","516725","6033362"
"売上総損益金額","466950","346336","138326","584266","174626","185311","169396","755861","890088","239769","205883","183283","4340095"
"販売管理費","","","","","","","","","","","","",""
"外注費","165825","0","0","0","0","0","0","0","0","0","0","0","165825"
"旅費交通費","440","1140","1212","3412","826","1886","958","2086","958","1344","2658","958","17878"
"通信費","71281","22501","28888","21547","20796","21207","22709","21909","21832","22293","39435","16496","330894"
"支払手数料","2780","2832","2499","3278","2728","2499","3926","2728","2957","2499","2878","3186","34790"
"保険料","0","0","0","0","12320","0","0","0","0","0","0","0","12320"
"租税公課","0","0","1200","520","1100","0","0","0","0","0","0","471400","474220"
"支払報酬料","0","110000","0","0","0","0","0","0","0","0","22000","0","132000"
"販売管理費 計","240326","136473","33799","28757","37770","25592","27593","26723","25747","26136","66971","492040","1167927"
"営業損益金額","226624","209863","104527","555509","136856","159719","141803","729138","864341","213633","138912","-308757","3172168"
"営業外収益","4648","0","0","0","0","1794","9970","0","0","0","44","13814743","13831199"
"受取利息","4648","0","0","0","0","1794","0","0","0","0","44","1749","8235"
"雑収入","0","0","0","0","0","0","9970","0","0","0","0","0","9970"
"為替差益","0","0","0","0","0","0","0","0","0","0","0","13812994","13812994"
"営業外費用","6185","5890","5989","5700","5792","5694","5415","5498","5225","5301","5203","12426852","12488744"
"支払利息","6185","5890","5989","5700","5792","5694","5415","5498","5225","5301","5203","4611","66503"
"為替差損","0","0","0","0","0","0","0","0","0","0","0","12422241","12422241"
"経常損益金額","225087","203973","98538","549809","131064","155819","146358","723640","859116","208332","133753","1079134","4514623"
"特別利益","0","0","0","0","0","0","0","0","0","0","0","0","0"
"特別損失","0","0","0","0","0","0","0","0","0","0","0","0","0"
"税引前当期純損益金額","225087","203973","98538","549809","131064","155819","146358","723640","859116","208332","133753","1079134","4514623"
"法人税等","0","0","0","0","0","0","0","0","0","0","0","185000","185000"
"法人税等","0","0","0","0","0","0","0","0","0","0","0","185000","185000"
"法人税等調整額","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期純損益金額","225087","203973","98538","549809","131064","155819","146358","723640","859116","208332","133753","894134","4329623"
