"月次推移：貸借対照表_株式会社Appdate（期間：2022年04月～2023年03月、表示単位：円）"
"","期首","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03"
"資産の部","","","","","","","","","","","","",""
"流動資産","","","","","","","","","","","","",""
"楽天（法人）","1996847","1898611","1795865","1761363","2321097","3247832","1758339","1708576","2791675","4035254","3701337","2123915","3123975"
"三菱ＵＦＪ（法人）（API）","265185","413841","346714","525028","410379","281058","166023","350723","233543","117118","602326","490992","379786"
"売掛金","983400","1052700","1041975","938850","1980500","2033300","1867200","2499158","2027525","1224025","1915760","1708960","1203400"
"前払費用","17600","17600","17600","17600","17600","17600","17600","17600","17600","17600","17600","17600","0"
"未収還付法人税等","0","0","0","0","0","0","0","0","0","0","0","0","2"
"未収入金","21316","21680","20980","22016","20906","21186","21522","20432","22012","24147","21626","20926","9062"
"仮払金","0","0","22381","144280","44490","44220","44440","440","660","880","1100","1100","0"
"仮払税金","0","0","0","0","0","0","1","1","1","1","1","1","0"
"流動資産 計","3284348","3404432","3245515","3409137","4794972","5645196","3875125","4596930","5093016","5419025","6259750","4363494","4716225"
"固定資産","","","","","","","","","","","","",""
"有形固定資産","","","","","","","","","","","","",""
"無形固定資産","","","","","","","","","","","","",""
"ソフトウェア","306900","279000","251100","223200","195300","167400","139500","111600","83700","55800","27900","0","0"
"ソフトウェア仮勘定","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400"
"無形固定資産 計","2500300","2472400","2444500","2416600","2388700","2360800","2332900","2305000","2277100","2249200","2221300","2193400","2193400"
"投資その他の資産","","","","","","","","","","","","",""
"固定資産 計","2500300","2472400","2444500","2416600","2388700","2360800","2332900","2305000","2277100","2249200","2221300","2193400","2193400"
"資産 計","5784648","5876832","5690015","5825737","7183672","8005996","6208025","6901930","7370116","7668225","8481050","6556894","6909625"
"負債の部","","","","","","","","","","","","",""
"流動負債","","","","","","","","","","","","",""
"役員借入金","5857765","5857765","6037765","6037765","6037765","6037765","4037765","4037765","4037765","4053490","4053490","2053490","2069070"
"未払金","241796","221418","9146","9146","9072","8578","7718","7718","8158","8158","8158","8598","8296"
"未払費用","1093105","1100654","1037689","895297","1188387","1277965","1050058","1119915","1150326","1152139","1146782","906759","754422"
"JCBカード","48922","17545","-46269","-31061","-34401","-30711","-30313","-28500","-29124","-30821","-34246","-34058","21191"
"未払法人税等","180000","180000","0","0","0","0","0","0","0","0","0","0","180000"
"預り金","216825","315310","273604","302919","352793","392294","430926","229676","271248","317887","112177","132341","155975"
"仮受金","0","0","114","114","228","228","342","456","456","570","570","684","0"
"流動負債 計","7638413","7692692","7312049","7214180","7553844","7686119","5496496","5367030","5438829","5501423","5286931","3067814","3188954"
"固定負債","","","","","","","","","","","","",""
"長期借入金","8415000","8330000","8245000","8160000","8075000","7990000","7905000","7820000","7735000","7650000","7565000","7480000","7395000"
"固定負債 計","8415000","8330000","8245000","8160000","8075000","7990000","7905000","7820000","7735000","7650000","7565000","7480000","7395000"
"負債 計","16053413","16022692","15557049","15374180","15628844","15676119","13401496","13187030","13173829","13151423","12851931","10547814","10583954"
"純資産の部","","","","","","","","","","","","",""
"株主資本","","","","","","","","","","","","",""
"資本金","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000"
"資本剰余金","","","","","","","","","","","","",""
"資本準備金","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000"
"資本剰余金 計","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000"
"利益剰余金","","","","","","","","","","","","",""
"その他利益剰余金","","","","","","","","","","","","",""
"繰越利益剰余金","-40280765","-40280765","-40280765","-40280765","-40280765","-40280765","-40280765","-40280765","-40280765","-40280765","-40280765","-40280765","-33686329"
"当期純損益金額","0","122905","401731","720322","1823593","2598642","3075294","3983665","4465052","4785567","5897884","6277845","0"
"その他利益剰余金 計","-40280765","-40157860","-39879034","-39560443","-38457172","-37682123","-37205471","-36297100","-35815713","-35495198","-34382881","-34002920","-33686329"
"利益剰余金 計","-40280765","-40157860","-39879034","-39560443","-38457172","-37682123","-37205471","-36297100","-35815713","-35495198","-34382881","-34002920","-33686329"
"株主資本 計","-10268765","-10145860","-9867034","-9548443","-8445172","-7670123","-7193471","-6285100","-5803713","-5483198","-4370881","-3990920","-3674329"
"評価・換算差額等","","","","","","","","","","","","",""
"評価・換算差額等 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新株予約権","","","","","","","","","","","","",""
"新株予約権 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"純資産 計","-10268765","-10145860","-9867034","-9548443","-8445172","-7670123","-7193471","-6285100","-5803713","-5483198","-4370881","-3990920","-3674329"
"負債及び純資産 計","5784648","5876832","5690015","5825737","7183672","8005996","6208025","6901930","7370116","7668225","8481050","6556894","6909625"
