"月次推移：貸借対照表_株式会社Appdate（期間：2019年04月～2020年03月、表示単位：円）"
"","期首","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","2020-01","2020-02","2020-03"
"資産の部","","","","","","","","","","","","",""
"流動資産","","","","","","","","","","","","",""
"楽天（法人）","0","358872","217349","995529","747045","535832","366352","687364","690108","1418225","1199637","724876","817079"
"三菱ＵＦＪ（法人）（API）","1129483","1179352","782852","877213","958098","1416511","1721694","2186516","2552324","1423856","1536911","1747384","1852240"
"売掛金","273430","247400","378600","279800","486600","448200","582100","601500","763709","680606","452183","464604","369460"
"立替金","0","0","0","0","0","0","0","0","0","0","0","0","0"
"前払費用","10800","0","0","0","0","0","0","0","0","0","0","0","0"
"未収入金","19660","25478","23560","27078","24290","33060","28898","32170","34020","32100","27260","31840","17488"
"流動資産 計","1433373","1811102","1402361","2179620","2216033","2433603","2699044","3507550","4040161","3554787","3215991","2968704","3056267"
"固定資産","","","","","","","","","","","","",""
"有形固定資産","","","","","","","","","","","","",""
"一括償却資産","0","0","112408","108896","105384","101872","98360","94848","91336","87824","84312","80800","77280"
"有形固定資産 計","0","0","112408","108896","105384","101872","98360","94848","91336","87824","84312","80800","77280"
"無形固定資産","","","","","","","","","","","","",""
"ソフトウェア","2194200","2136870","2079540","2022210","1964880","1907550","1850220","1792890","1735560","1678230","1620900","1563570","1506240"
"無形固定資産 計","2194200","2136870","2079540","2022210","1964880","1907550","1850220","1792890","1735560","1678230","1620900","1563570","1506240"
"投資その他の資産","","","","","","","","","","","","",""
"差入保証金","0","0","0","0","0","0","67000","67000","67000","67000","67000","67000","123000"
"投資その他の資産 計","0","0","0","0","0","0","67000","67000","67000","67000","67000","67000","123000"
"固定資産 計","2194200","2136870","2191948","2131106","2070264","2009422","2015580","1954738","1893896","1833054","1772212","1711370","1706520"
"資産 計","3627573","3947972","3594309","4310726","4286297","4443025","4714624","5462288","5934057","5387841","4988203","4680074","4762787"
"負債の部","","","","","","","","","","","","",""
"流動負債","","","","","","","","","","","","",""
"役員借入金","2234964","3198464","3751181","4229758","5768317","6086199","6986298","8439455","9383757","10064431","10385401","10667252","12065246"
"未払金","660727","311662","179340","179340","179340","179340","252660","180170","174840","0","0","4959","0"
"未払費用","0","0","0","0","0","0","0","0","0","0","107748","215496","215496"
"JCBカード","0","37516","106306","70759","21276","44357","63574","50546","74493","53117","53256","133133","149686"
"未払法人税等","180000","180000","0","0","0","0","0","0","0","0","0","0","180000"
"預り金","167745","254403","63923","93014","67322","99363","68559","78218","140833","109708","54834","97100","73668"
"仮受金","0","0","0","1000000","0","324","324","610","610","610","5310","5310","0"
"流動負債 計","3243436","3982045","4100750","5572871","6036255","6409583","7371415","8748999","9774533","10227866","10606549","11123250","12684096"
"固定負債","","","","","","","","","","","","",""
"負債 計","3243436","3982045","4100750","5572871","6036255","6409583","7371415","8748999","9774533","10227866","10606549","11123250","12684096"
"純資産の部","","","","","","","","","","","","",""
"株主資本","","","","","","","","","","","","",""
"資本金","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000"
"資本剰余金","","","","","","","","","","","","",""
"資本準備金","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000"
"資本剰余金 計","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000"
"利益剰余金","","","","","","","","","","","","",""
"その他利益剰余金","","","","","","","","","","","","",""
"繰越利益剰余金","-29627863","-29627863","-29627863","-29627863","-29627863","-29627863","-29627863","-29627863","-29627863","-29627863","-29627863","-29627863","-37933309"
"当期純損益金額","0","-418210","-890578","-1646282","-2134095","-2350695","-3040928","-3670848","-4224613","-5224162","-6002483","-6827313","0"
"その他利益剰余金 計","-29627863","-30046073","-30518441","-31274145","-31761958","-31978558","-32668791","-33298711","-33852476","-34852025","-35630346","-36455176","-37933309"
"利益剰余金 計","-29627863","-30046073","-30518441","-31274145","-31761958","-31978558","-32668791","-33298711","-33852476","-34852025","-35630346","-36455176","-37933309"
"株主資本 計","384137","-34073","-506441","-1262145","-1749958","-1966558","-2656791","-3286711","-3840476","-4840025","-5618346","-6443176","-7921309"
"評価・換算差額等","","","","","","","","","","","","",""
"評価・換算差額等 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新株予約権","","","","","","","","","","","","",""
"新株予約権 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"純資産 計","384137","-34073","-506441","-1262145","-1749958","-1966558","-2656791","-3286711","-3840476","-4840025","-5618346","-6443176","-7921309"
"負債及び純資産 計","3627573","3947972","3594309","4310726","4286297","4443025","4714624","5462288","5934057","5387841","4988203","4680074","4762787"
