"月次推移：損益計算書_株式会社Appdate（期間：2019年04月～2020年03月、表示単位：円）"
"","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","2020-01","2020-02","2020-03","期間累計"
"売上高","","","","","","","","","","","","",""
"売上高","247400","378600","279800","486600","448200","582100","601500","563709","680606","452183","464604","374770","5560072"
"売上高 計","247400","378600","279800","486600","448200","582100","601500","563709","680606","452183","464604","374770","5560072"
"売上原価","","","","","","","","","","","","",""
"売上原価","0","0","0","0","0","0","0","0","0","120000","120000","120000","360000"
"期首商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期商品仕入","0","0","0","0","0","0","0","0","0","120000","120000","120000","360000"
"外注費（売上原価）","0","0","0","0","0","0","0","0","0","120000","120000","120000","360000"
"他勘定振替高(商)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"期末商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"商品売上原価","0","0","0","0","0","0","0","0","0","120000","120000","120000","360000"
"売上総損益金額","247400","378600","279800","486600","448200","582100","601500","563709","680606","332183","344604","254770","5200072"
"販売管理費","","","","","","","","","","","","",""
"役員報酬","10000","10000","10000","17990","17990","17990","17990","17990","17990","17990","17990","17990","191910"
"給料手当","221410","210720","209900","209900","209900","209900","388188","388188","178288","178288","214466","210156","2829304"
"雑給","0","0","38994","33885","31120","11025","45617","95048","51959","43798","34091","16833","402370"
"法定福利費","7336","76525","3002","62721","0","64268","32122","1512","56067","153842","1879","44785","504059"
"福利厚生費","0","0","0","0","0","0","0","1500","7700","0","0","0","9200"
"荷造運賃","0","0","0","0","0","0","0","0","2580","0","0","0","2580"
"広告宣伝費","0","0","0","0","20773","0","14300","0","0","0","0","0","35073"
"交際費","67120","112991","116092","124896","71367","107479","152177","35101","162817","30000","16870","41731","1038641"
"会議費","97221","22144","14706","29817","0","8000","19201","27306","17648","11581","31046","29297","307967"
"旅費交通費","283310","265530","330330","362730","216930","329670","238460","348964","477135","292123","215110","331039","3691331"
"通信費","11774","1084","0","613","216","1243","1050","2155","924","11220","0","990","31269"
"消耗品費","1717","29694","632","1569","1569","10381","7944","27554","6611","1672","86910","1934","178187"
"新聞図書費","0","23000","1944","0","0","7126","4268","0","2958","1762","7669","27280","76007"
"諸会費","0","0","0","500","500","500","1850","500","500","500","500","500","5850"
"支払手数料","70065","34401","245025","68950","33593","301845","212411","58814","586984","271486","464743","662673","3010990"
"地代家賃","0","0","0","0","0","88666","35000","35000","35000","35000","35000","106450","370116"
"賃借料","3780","4037","4037","0","0","0","0","0","0","0","0","0","11854"
"保険料","0","0","0","0","0","0","0","15000","0","0","0","0","15000"
"租税公課","0","0","0","0","0","53400","0","2000","0","400","0","400","56200"
"減価償却費","57330","60842","60842","60842","60842","60842","60842","60842","60842","60842","60842","60850","726600"
"販売管理費 計","831063","850968","1035504","974413","664800","1272335","1231420","1117474","1666003","1110504","1187116","1552908","13494508"
"営業損益金額","-583663","-472368","-755704","-487813","-216600","-690235","-629920","-553765","-985397","-778321","-842512","-1298138","-8294436"
"営業外収益","165453","0","0","0","0","2","0","0","0","0","17682","5","183142"
"受取利息","0","0","0","0","0","2","0","0","0","0","0","5","7"
"雑収入","165453","0","0","0","0","0","0","0","0","0","17682","0","183135"
"営業外費用","0","0","0","0","0","0","0","0","14152","0","0","0","14152"
"支払利息","0","0","0","0","0","0","0","0","14152","0","0","0","14152"
"経常損益金額","-418210","-472368","-755704","-487813","-216600","-690233","-629920","-553765","-999549","-778321","-824830","-1298133","-8125446"
"特別利益","0","0","0","0","0","0","0","0","0","0","0","0","0"
"特別損失","0","0","0","0","0","0","0","0","0","0","0","0","0"
"税引前当期純損益金額","-418210","-472368","-755704","-487813","-216600","-690233","-629920","-553765","-999549","-778321","-824830","-1298133","-8125446"
"法人税等","0","0","0","0","0","0","0","0","0","0","0","180000","180000"
"法人税等","0","0","0","0","0","0","0","0","0","0","0","180000","180000"
"法人税等調整額","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期純損益金額","-418210","-472368","-755704","-487813","-216600","-690233","-629920","-553765","-999549","-778321","-824830","-1478133","-8305446"
