"月次推移：損益計算書_株式会社Appdate（期間：2022年04月～2023年03月、表示単位：円）"
"","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03","期間累計"
"売上高","","","","","","","","","","","","",""
"売上高","1092300","1041975","858550","1980500","1433300","1117600","1628558","1156925","1074425","1766160","841500","1053800","15045593"
"売上高 計","1092300","1041975","858550","1980500","1433300","1117600","1628558","1156925","1074425","1766160","841500","1053800","15045593"
"売上原価","","","","","","","","","","","","",""
"売上原価","620400","492662","462550","803550","562650","562925","640475","596612","642262","579700","376100","420540","6760426"
"期首商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期商品仕入","620400","492662","462550","803550","562650","562925","640475","596612","642262","579700","376100","420540","6760426"
"外注費（売上原価）","620400","492662","462550","803550","562650","562925","640475","596612","642262","579700","376100","420540","6760426"
"他勘定振替高(商)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"期末商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"商品売上原価","620400","492662","462550","803550","562650","562925","640475","596612","642262","579700","376100","420540","6760426"
"売上総損益金額","471900","549313","396000","1176950","870650","554675","988083","560313","432163","1186460","465400","633260","8285167"
"販売管理費","","","","","","","","","","","","",""
"役員報酬","17990","0","0","0","0","0","0","0","0","0","0","0","17990"
"給料手当","254990","0","0","0","0","0","0","0","0","0","0","0","254990"
"法定福利費","0","86705","0","0","0","0","0","0","0","0","0","0","86705"
"通信費","13662","4338","19546","16206","17079","20294","20732","21483","19786","16361","15999","21983","207469"
"支払手数料","31166","148395","26742","26488","26708","26717","28092","26488","48638","26894","38585","26836","481749"
"保険料","0","0","0","0","20760","0","0","0","0","0","0","0","20760"
"租税公課","0","0","0","0","0","0","0","0","12400","0","0","10000","22400"
"減価償却費","27900","27900","27900","27900","27900","27900","27900","27900","27900","27900","27900","0","306900"
"販売管理費 計","345708","267338","74188","70594","92447","74911","76724","75871","108724","71155","82484","58819","1398963"
"営業損益金額","126192","281975","321812","1106356","778203","479764","911359","484442","323439","1115305","382916","574441","6886204"
"営業外収益","0","0","0","0","0","9","0","0","0","0","0","314","323"
"受取利息","0","0","0","0","0","9","0","0","0","0","0","12","21"
"雑収入","0","0","0","0","0","0","0","0","0","0","0","302","302"
"営業外費用","3287","3149","3221","3085","3154","3121","2988","3055","2924","2988","2955","78164","112091"
"支払利息","3287","3149","3221","3085","3154","3121","2988","3055","2924","2988","2955","2639","36566"
"雑損失","0","0","0","0","0","0","0","0","0","0","0","75525","75525"
"経常損益金額","122905","278826","318591","1103271","775049","476652","908371","481387","320515","1112317","379961","496591","6774436"
"特別利益","0","0","0","0","0","0","0","0","0","0","0","0","0"
"特別損失","0","0","0","0","0","0","0","0","0","0","0","0","0"
"税引前当期純損益金額","122905","278826","318591","1103271","775049","476652","908371","481387","320515","1112317","379961","496591","6774436"
"法人税等","0","0","0","0","0","0","0","0","0","0","0","180000","180000"
"法人税等","0","0","0","0","0","0","0","0","0","0","0","180000","180000"
"法人税等調整額","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期純損益金額","122905","278826","318591","1103271","775049","476652","908371","481387","320515","1112317","379961","316591","6594436"
