"月次推移：貸借対照表_株式会社Appdate（期間：2021年04月～2022年03月、表示単位：円）"
"","期首","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03"
"資産の部","","","","","","","","","","","","",""
"流動資産","","","","","","","","","","","","",""
"楽天（法人）","1272755","942553","1056587","1107173","1260480","1125192","1116540","1610398","2080838","2872143","3424419","1889428","1996847"
"三菱ＵＦＪ（法人）（API）","26892","91092","177390","16607","382338","406042","410363","278318","3230","380134","367504","439105","265185"
"売掛金","790900","907280","981860","1034880","1020800","897600","1204032","1209285","2084335","1535930","909100","1149170","983400"
"前払費用","7364","0","0","0","0","0","0","0","0","0","0","0","17600"
"未収入金","19782","19782","19464","17594","25526","25326","25502","24298","23662","21792","24562","21240","21316"
"仮払金","0","290","0","0","0","0","0","0","0","0","0","0","0"
"流動資産 計","2117693","1960997","2235301","2176254","2689144","2454160","2756437","3122299","4192065","4809999","4725585","3498943","3284348"
"固定資産","","","","","","","","","","","","",""
"有形固定資産","","","","","","","","","","","","",""
"一括償却資産","38640","35420","32200","28980","25760","22540","19320","16100","12880","9660","6440","3220","0"
"有形固定資産 計","38640","35420","32200","28980","25760","22540","19320","16100","12880","9660","6440","3220","0"
"無形固定資産","","","","","","","","","","","","",""
"ソフトウェア","818280","760950","703620","646290","588960","531630","474300","446400","418500","390600","362700","334800","306900"
"ソフトウェア仮勘定","1964600","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400","2193400"
"無形固定資産 計","2782880","2954350","2897020","2839690","2782360","2725030","2667700","2639800","2611900","2584000","2556100","2528200","2500300"
"投資その他の資産","","","","","","","","","","","","",""
"長期前払費用","13200","13200","13200","13200","13200","13200","13200","13200","13200","13200","13200","13200","0"
"投資その他の資産 計","13200","13200","13200","13200","13200","13200","13200","13200","13200","13200","13200","13200","0"
"固定資産 計","2834720","3002970","2942420","2881870","2821320","2760770","2700220","2669100","2637980","2606860","2575740","2544620","2500300"
"資産 計","4952413","4963967","5177721","5058124","5510464","5214930","5456657","5791399","6830045","7416859","7301325","6043563","5784648"
"負債の部","","","","","","","","","","","","",""
"流動負債","","","","","","","","","","","","",""
"役員借入金","6199826","6506902","6823986","6831070","7138154","7145238","7241061","7287405","7329429","7336513","7343597","5850681","5857765"
"未払金","681239","488648","440240","259975","320253","239291","354598","342729","214112","231882","217892","263254","241796"
"未払費用","767583","579473","601197","686173","720139","739893","766167","888871","939870","884715","899147","1036777","1093105"
"JCBカード","60718","67736","64691","38357","219622","97955","82563","82349","22851","19308","287414","277486","48922"
"未払法人税等","180000","180000","0","0","0","0","0","0","0","0","0","0","180000"
"預り金","136477","194781","229344","325905","180556","166711","199925","301672","347166","390885","135932","174177","216825"
"仮受金","0","0","0","1777","0","0","0","0","0","0","0","0","0"
"流動負債 計","8025843","8017540","8159458","8143257","8578724","8389088","8644314","8903026","8853428","8863303","8883982","7602375","7638413"
"固定負債","","","","","","","","","","","","",""
"長期借入金","9435000","9350000","9265000","9180000","9095000","9095000","8925000","8840000","8755000","8670000","8585000","8500000","8415000"
"固定負債 計","9435000","9350000","9265000","9180000","9095000","9095000","8925000","8840000","8755000","8670000","8585000","8500000","8415000"
"負債 計","17460843","17367540","17424458","17323257","17673724","17484088","17569314","17743026","17608428","17533303","17468982","16102375","16053413"
"純資産の部","","","","","","","","","","","","",""
"株主資本","","","","","","","","","","","","",""
"資本金","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000"
"資本剰余金","","","","","","","","","","","","",""
"資本準備金","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000"
"資本剰余金 計","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000"
"利益剰余金","","","","","","","","","","","","",""
"その他利益剰余金","","","","","","","","","","","","",""
"繰越利益剰余金","-42520430","-42520430","-42520430","-42520430","-42520430","-42520430","-42520430","-42520430","-42520430","-42520430","-42520430","-42520430","-40280765"
"当期純損益金額","0","104857","261693","243297","345170","239272","395773","556803","1730047","2391986","2340773","2449618","0"
"その他利益剰余金 計","-42520430","-42415573","-42258737","-42277133","-42175260","-42281158","-42124657","-41963627","-40790383","-40128444","-40179657","-40070812","-40280765"
"利益剰余金 計","-42520430","-42415573","-42258737","-42277133","-42175260","-42281158","-42124657","-41963627","-40790383","-40128444","-40179657","-40070812","-40280765"
"株主資本 計","-12508430","-12403573","-12246737","-12265133","-12163260","-12269158","-12112657","-11951627","-10778383","-10116444","-10167657","-10058812","-10268765"
"評価・換算差額等","","","","","","","","","","","","",""
"評価・換算差額等 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新株予約権","","","","","","","","","","","","",""
"新株予約権 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"純資産 計","-12508430","-12403573","-12246737","-12265133","-12163260","-12269158","-12112657","-11951627","-10778383","-10116444","-10167657","-10058812","-10268765"
"負債及び純資産 計","4952413","4963967","5177721","5058124","5510464","5214930","5456657","5791399","6830045","7416859","7301325","6043563","5784648"
