"月次推移：損益計算書_株式会社Appdate（期間：2023年04月～2024年03月、表示単位：円）"
"","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","期間累計"
"売上高","","","","","","","","","","","","",""
"売上高","948750","1155550","891550","904750","779350","1316040","916740","960025","844250","1593240","713900","1253554","12277699"
"売上高 計","948750","1155550","891550","904750","779350","1316040","916740","960025","844250","1593240","713900","1253554","12277699"
"売上原価","","","","","","","","","","","","",""
"売上原価","446875","512060","465375","411925","428250","434125","555875","452125","498550","486175","397000","715750","5804085"
"期首商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期商品仕入","446875","512060","465375","411925","428250","434125","555875","452125","498550","486175","397000","715750","5804085"
"外注費（売上原価）","446875","512060","465375","411925","428250","434125","555875","452125","498550","486175","397000","715750","5804085"
"他勘定振替高(商)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"期末商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"商品売上原価","446875","512060","465375","411925","428250","434125","555875","452125","498550","486175","397000","715750","5804085"
"売上総損益金額","501875","643490","426175","492825","351100","881915","360865","507900","345700","1107065","316900","537804","6473614"
"販売管理費","","","","","","","","","","","","",""
"旅費交通費","0","36660","0","36660","0","35920","0","0","0","0","0","0","109240"
"通信費","16234","16281","23064","16983","18719","40868","19734","19304","19011","17347","20625","20780","248950"
"支払手数料","15888","125836","16523","15836","15836","16065","15836","16065","16065","16065","16294","16444","302753"
"保険料","0","0","0","0","17950","0","0","0","0","0","0","0","17950"
"租税公課","0","0","0","0","0","0","0","0","0","0","0","557900","557900"
"販売管理費 計","32122","178777","39587","69479","52505","92853","35570","35369","35076","33412","36919","595124","1236793"
"営業損益金額","469753","464713","386588","423346","298595","789062","325295","472531","310624","1073653","279981","-57320","5236821"
"営業外収益","0","0","0","0","0","11","0","0","0","0","0","2267","2278"
"受取利息","0","0","0","0","0","11","0","0","0","0","0","2267","2278"
"営業外費用","2889","2763","2822","2699","4843","8050","7696","7854","7506","7658","7559","6980","69319"
"支払利息","2889","2763","2822","2699","4843","8050","7696","7854","7506","7658","7559","6980","69319"
"経常損益金額","466864","461950","383766","420647","293752","781023","317599","464677","303118","1065995","272422","-62033","5169780"
"特別利益","0","0","0","0","0","0","0","0","0","0","0","0","0"
"特別損失","0","0","0","0","0","0","0","0","0","0","0","0","0"
"税引前当期純損益金額","466864","461950","383766","420647","293752","781023","317599","464677","303118","1065995","272422","-62033","5169780"
"法人税等","0","0","0","0","0","0","0","0","0","0","0","180000","180000"
"法人税等","0","0","0","0","0","0","0","0","0","0","0","180000","180000"
"法人税等調整額","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期純損益金額","466864","461950","383766","420647","293752","781023","317599","464677","303118","1065995","272422","-242033","4989780"
