"月次推移：貸借対照表_株式会社Appdate（期間：2020年04月～2021年03月、表示単位：円）"
"","期首","2020-04","2020-05","2020-06","2020-07","2020-08","2020-09","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03"
"資産の部","","","","","","","","","","","","",""
"流動資産","","","","","","","","","","","","",""
"楽天（法人）","817079","330360","295559","503789","656560","3763451","3282913","2662711","1312321","1301786","1763717","1833075","1272755"
"三菱ＵＦＪ（法人）（API）","1852240","1824495","1833628","1596868","1461227","9240947","8959635","3780711","3419506","3285020","573113","371513","26892"
"売掛金","369460","160790","215790","182790","126690","583690","280690","1023520","656010","709690","549090","818590","790900"
"立替金","0","0","0","0","0","0","0","0","0","0","0","-4784","0"
"前払費用","0","0","0","0","0","0","0","0","0","0","0","0","7364"
"未収入金","17488","15798","15798","15798","15798","15798","15798","15798","15798","15798","15798","20582","19782"
"仮払金","0","0","0","0","0","0","0","0","0","0","0","70000","0"
"流動資産 計","3056267","2331443","2360775","2299245","2260275","13603886","12539036","7482740","5403635","5312294","2901718","3108976","2117693"
"固定資産","","","","","","","","","","","","",""
"有形固定資産","","","","","","","","","","","","",""
"一括償却資産","77280","74060","70840","67620","64400","61180","57960","54740","51520","48300","45080","41860","38640"
"有形固定資産 計","77280","74060","70840","67620","64400","61180","57960","54740","51520","48300","45080","41860","38640"
"無形固定資産","","","","","","","","","","","","",""
"ソフトウェア","1506240","1448910","1391580","1334250","1276920","1219590","1162260","1104930","1047600","990270","932940","875610","818280"
"ソフトウェア仮勘定","0","0","0","0","0","352000","677600","1029600","1223200","1342000","1368400","1669800","1964600"
"無形固定資産 計","1506240","1448910","1391580","1334250","1276920","1571590","1839860","2134530","2270800","2332270","2301340","2545410","2782880"
"投資その他の資産","","","","","","","","","","","","",""
"差入保証金","123000","123000","123000","123000","123000","123000","123000","123000","123000","67000","67000","67000","0"
"長期前払費用","0","0","0","0","0","13200","13200","13200","13200","13200","13200","13200","13200"
"投資その他の資産 計","123000","123000","123000","123000","123000","136200","136200","136200","136200","80200","80200","80200","13200"
"固定資産 計","1706520","1645970","1585420","1524870","1464320","1768970","2034020","2325470","2458520","2460770","2426620","2667470","2834720"
"資産 計","4762787","3977413","3946195","3824115","3724595","15372856","14573056","9808210","7862155","7773064","5328338","5776446","4952413"
"負債の部","","","","","","","","","","","","",""
"流動負債","","","","","","","","","","","","",""
"役員借入金","12065246","12082302","13093178","14443724","15405420","15643746","15762486","10887910","9460722","9478598","6985674","6992750","6199826"
"未払金","0","870209","859525","735059","824989","869236","706082","566798","411416","283302","280822","602902","681239"
"未払費用","215496","143664","215496","251412","251412","251412","251412","215496","389958","387983","373168","581487","767583"
"JCBカード","149686","82633","45477","47603","48781","96858","82228","40705","38160","35941","160040","161473","60718"
"未払法人税等","180000","180000","0","0","0","0","0","0","0","0","0","0","180000"
"預り金","73668","119536","205404","167059","84286","90160","115305","164563","126115","189379","89222","125737","136477"
"流動負債 計","12684096","13478344","14419080","15644857","16614888","16951412","16917513","11875472","10426371","10375203","7888926","8464349","8025843"
"固定負債","","","","","","","","","","","","",""
"長期借入金","0","0","0","0","0","10000000","9945000","9860000","9775000","9690000","9605000","9520000","9435000"
"固定負債 計","0","0","0","0","0","10000000","9945000","9860000","9775000","9690000","9605000","9520000","9435000"
"負債 計","12684096","13478344","14419080","15644857","16614888","26951412","26862513","21735472","20201371","20065203","17493926","17984349","17460843"
"純資産の部","","","","","","","","","","","","",""
"株主資本","","","","","","","","","","","","",""
"資本金","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000","18006000"
"資本剰余金","","","","","","","","","","","","",""
"資本準備金","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000"
"資本剰余金 計","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000","12006000"
"利益剰余金","","","","","","","","","","","","",""
"その他利益剰余金","","","","","","","","","","","","",""
"繰越利益剰余金","-37933309","-37933309","-37933309","-37933309","-37933309","-37933309","-37933309","-37933309","-37933309","-37933309","-37933309","-37933309","-42520430"
"当期純損益金額","0","-1579622","-2551576","-3899433","-4968984","-3657247","-4368148","-4005953","-4417907","-4370830","-4244279","-4286594","0"
"その他利益剰余金 計","-37933309","-39512931","-40484885","-41832742","-42902293","-41590556","-42301457","-41939262","-42351216","-42304139","-42177588","-42219903","-42520430"
"利益剰余金 計","-37933309","-39512931","-40484885","-41832742","-42902293","-41590556","-42301457","-41939262","-42351216","-42304139","-42177588","-42219903","-42520430"
"株主資本 計","-7921309","-9500931","-10472885","-11820742","-12890293","-11578556","-12289457","-11927262","-12339216","-12292139","-12165588","-12207903","-12508430"
"評価・換算差額等","","","","","","","","","","","","",""
"評価・換算差額等 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新株予約権","","","","","","","","","","","","",""
"新株予約権 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"純資産 計","-7921309","-9500931","-10472885","-11820742","-12890293","-11578556","-12289457","-11927262","-12339216","-12292139","-12165588","-12207903","-12508430"
"負債及び純資産 計","4762787","3977413","3946195","3824115","3724595","15372856","14573056","9808210","7862155","7773064","5328338","5776446","4952413"
