"月次推移：損益計算書_株式会社Appdate（期間：2024年04月～2025年03月、表示単位：円）"
"","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","期間累計"
"売上高","","","","","","","","","","","","",""
"売上高","938850","848650","775500","897600","660000","1543355","867350","1571350","1575280","856900","709500","918500","12162835"
"売上高 計","938850","848650","775500","897600","660000","1543355","867350","1571350","1575280","856900","709500","918500","12162835"
"売上原価","","","","","","","","","","","","",""
"売上原価","594000","439900","447125","480125","365750","624663","487850","551375","509575","454300","402875","501875","5859413"
"期首商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期商品仕入","594000","439900","447125","480125","365750","624663","487850","551375","509575","454300","402875","501875","5859413"
"外注費（売上原価）","594000","439900","447125","480125","365750","624663","487850","551375","509575","454300","402875","501875","5859413"
"他勘定振替高(商)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"期末商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"商品売上原価","594000","439900","447125","480125","365750","624663","487850","551375","509575","454300","402875","501875","5859413"
"売上総損益金額","344850","408750","328375","417475","294250","918692","379500","1019975","1065705","402600","306625","416625","6303422"
"販売管理費","","","","","","","","","","","","",""
"通信費","29872","21814","32242","22593","22120","21203","24559","22347","22152","22966","22898","25730","290496"
"支払手数料","70493","3186","2957","3186","2728","3186","3874","2728","2957","2499","2499","2499","102792"
"保険料","0","0","0","0","15130","0","0","0","0","0","0","0","15130"
"租税公課","71164","0","500","0","0","0","500","10500","0","0","0","552800","635464"
"支払報酬料","31873","110000","0","0","0","0","0","0","0","0","0","0","141873"
"販売管理費 計","203402","135000","35699","25779","39978","24389","28933","35575","25109","25465","25397","581029","1185755"
"営業損益金額","141448","273750","292676","391696","254272","894303","350567","984400","1040596","377135","281228","-164404","5117667"
"営業外収益","2238","2227","2215","2203","2191","2527","4043","4022","4750","4725","4699","5867","41707"
"受取利息","2238","2227","2215","2203","2191","2527","4043","4022","4750","4725","4699","5867","41707"
"営業外費用","7363","7031","7167","6840","6970","6872","6555","6676","6365","6479","6381","55493","130192"
"支払利息","7363","7031","7167","6840","6970","6872","6555","6676","6365","6479","6381","5675","80374"
"雑損失","0","0","0","0","0","0","0","0","0","0","0","49818","49818"
"経常損益金額","136323","268946","287724","387059","249493","889958","348055","981746","1038981","375381","279546","-214030","5029182"
"特別利益","0","0","0","0","0","0","0","0","0","0","0","0","0"
"特別損失","0","0","0","0","0","0","0","0","0","0","0","0","0"
"税引前当期純損益金額","136323","268946","287724","387059","249493","889958","348055","981746","1038981","375381","279546","-214030","5029182"
"法人税等","0","0","0","0","0","0","0","0","0","0","0","184500","184500"
"法人税等","0","0","0","0","0","0","0","0","0","0","0","184500","184500"
"法人税等調整額","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期純損益金額","136323","268946","287724","387059","249493","889958","348055","981746","1038981","375381","279546","-398530","4844682"
