"月次推移：貸借対照表_医療法人きたかみ腎クリニック（期間：2023年08月～2024年07月、表示単位：円）"
"","期首","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07"
"負債 計","486948209","484687052","485694034","478390306","469859088","471403754","446397474","443685051","446040671","433899327","431833568","432837580","420604702"
"純資産の部","","","","","","","","","","","","",""
"株主資本","","","","","","","","","","","","",""
"資本剰余金","","","","","","","","","","","","",""
"資本剰余金 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"利益剰余金","","","","","","","","","","","","",""
"その他利益剰余金","","","","","","","","","","","","",""
"繰越利益剰余金","-150038643","-150038643","-150038643","-150038643","-150038643","-150038643","-150038643","-150038643","-150038643","-150038643","-150038643","-150038643","-109394921"
"当期純損益金額","0","-1355086","7719271","20206129","23407016","19816899","25560802","48299109","50589662","53462411","59931325","64707341","0"
"その他利益剰余金 計","-150038643","-151393729","-142319372","-129832514","-126631627","-130221744","-124477841","-101739534","-99448981","-96576232","-90107318","-85331302","-109394921"
"利益剰余金 計","-150038643","-151393729","-142319372","-129832514","-126631627","-130221744","-124477841","-101739534","-99448981","-96576232","-90107318","-85331302","-109394921"
"株主資本 計","-150038643","-151393729","-142319372","-129832514","-126631627","-130221744","-124477841","-101739534","-99448981","-96576232","-90107318","-85331302","-109394921"
"評価・換算差額等","","","","","","","","","","","","",""
"評価・換算差額等 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新株予約権","","","","","","","","","","","","",""
"新株予約権 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"純資産 計","-150038643","-151393729","-142319372","-129832514","-126631627","-130221744","-124477841","-101739534","-99448981","-96576232","-90107318","-85331302","-109394921"
"負債及び純資産 計","336909566","333293323","343374662","348557792","343227461","341182010","321919633","341945517","346591690","337323095","341726250","347506278","311209781"
