"月次推移：貸借対照表_医療法人きたかみ腎クリニック（期間：2024年08月～2025年07月、表示単位：円）"
"","期首","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07"
"純資産の部","","","","","","","","","","","","",""
"株主資本","","","","","","","","","","","","",""
"資本剰余金","","","","","","","","","","","","",""
"資本剰余金 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"利益剰余金","","","","","","","","","","","","",""
"その他利益剰余金","","","","","","","","","","","","",""
"繰越利益剰余金","-109394921","-109394921","-109394921","-109394921","-109394921","-109394921","-109394921","-109394921","-109394921","-109394921","-109394921","-109394921","-82203007"
"当期純損益金額","0","6503330","9978375","15562821","21317013","15646298","20398832","23241508","29009813","33261183","41446517","48684813","0"
"その他利益剰余金 計","-109394921","-102891591","-99416546","-93832100","-88077908","-93748623","-88996089","-86153413","-80385108","-76133738","-67948404","-60710108","-82203007"
"利益剰余金 計","-109394921","-102891591","-99416546","-93832100","-88077908","-93748623","-88996089","-86153413","-80385108","-76133738","-67948404","-60710108","-82203007"
"株主資本 計","-109394921","-102891591","-99416546","-93832100","-88077908","-93748623","-88996089","-86153413","-80385108","-76133738","-67948404","-60710108","-82203007"
"評価・換算差額等","","","","","","","","","","","","",""
"評価・換算差額等 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新株予約権","","","","","","","","","","","","",""
"新株予約権 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"純資産 計","-109394921","-102891591","-99416546","-93832100","-88077908","-93748623","-88996089","-86153413","-80385108","-76133738","-67948404","-60710108","-82203007"
"負債及び純資産 計","311209781","322698067","313423749","317070670","323960400","327959359","308206595","306198925","336034160","308419088","315636234","309340806","289371660"
