"月次推移：貸借対照表_株式会社はれのこ（期間：2025年06月～2026年05月、表示単位：円）"
"","期首","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","2026-03","2026-04","2026-05"
"資産の部","","","","","","","","","","","","",""
"流動資産","","","","","","","","","","","","",""
"GMOあおぞらネット（法人）（API） 102 法人第二営業部 普通預金（有利息） ***1461","1814905","1830544","553863","429085","808068","817812","710816","323587","129484","6920","438417","263995","326288"
"岩手（法人）（API）","929204","792680","803977","981561","733442","760323","990925","986733","646161","546046","469164","329767","180198"
"岩手銀行_2247974","0","0","0","0","0","0","0","1045000","0","141","141","141","141"
"売掛金","0","0","0","0","0","0","0","0","0","0","0","0","0"
"前渡金","0","0","0","0","0","0","707100","0","0","0","0","0","0"
"立替金","539142","382992","382992","382992","382992","382992","382992","382992","382992","382992","382992","382992","382992"
"前払費用","0","0","195000","247000","190000","185000","180000","175000","170000","165000","160000","201100","196100"
"未収還付法人税等","0","0","0","0","0","0","0","0","0","0","0","0","310633"
"仮払金","550000","550000","550000","550000","550000","550000","550000","550000","550000","550000","550000","550000","550000"
"仮払法人税","0","0","0","0","0","0","0","0","346100","346100","346100","346100","0"
"流動資産 計","3833251","3556216","2485832","2590638","2664502","2696127","3521833","3463312","2224737","1997199","2346814","2074095","1946352"
"固定資産","","","","","","","","","","","","",""
"有形固定資産","","","","","","","","","","","","",""
"一括償却資産","46934","46934","46934","46934","46934","46934","46934","46934","46934","46934","46934","46934","0"
"土地","0","0","0","0","0","0","0","89434964","90479964","90479964","90479964","90479964","62319964"
"建設仮勘定","0","0","4090000","4090000","4090000","4090000","4090000","4090000","4090000","4090000","4090000","4090000","4090000"
"有形固定資産 計","46934","46934","4136934","4136934","4136934","4136934","4136934","93571898","94616898","94616898","94616898","94616898","66409964"
"無形固定資産","","","","","","","","","","","","",""
"投資その他の資産","","","","","","","","","","","","",""
"長期貸付金","1420290","1399291","1378275","1357244","1336198","1315134","1294056","1272961","1272961","1272961","1272961","1272961","1272961"
"保険積立金","1215000","1415000","1420000","1425000","1430000","1435000","1440000","1445000","1450000","1455000","1460000","1465000","1470000"
"投資その他の資産 計","2635290","2814291","2798275","2782244","2766198","2750134","2734056","2717961","2722961","2727961","2732961","2737961","2742961"
"固定資産 計","2682224","2861225","6935209","6919178","6903132","6887068","6870990","96289859","97339859","97344859","97349859","97354859","69152925"
"資産 計","6515475","6417441","9421041","9509816","9567634","9583195","10392823","99753171","99564596","99342058","99696673","99428954","71099277"
"負債の部","","","","","","","","","","","","",""
"流動負債","","","","","","","","","","","","",""
"役員借入金","0","0","3700000","3700000","3700000","3700000","4480000","200","1000200","1000200","2112900","2459000","2459000"
"未払金","659971","428814","502601","504426","520910","689671","1104555","883598","817835","767176","654239","657117","756366"
"未払法人税等","737300","737300","0","0","0","0","0","0","0","0","0","0","36000"
"預り金","66983","1352","51612","88380","126008","114452","-85072","-37110","175076","236107","298716","171342","194230"
"仮受金","0","0","0","0","0","0","0","-10","0","0","0","0","0"
"流動負債 計","1464254","1167466","4254213","4292806","4346918","4504123","5499483","846678","1993111","2003483","3065855","3287459","3445596"
"固定負債","","","","","","","","","","","","",""
"長期借入金","0","0","0","0","0","0","0","98800000","98800000","98800000","98800000","98800000","70556000"
"固定負債 計","0","0","0","0","0","0","0","98800000","98800000","98800000","98800000","98800000","70556000"
"負債 計","1464254","1167466","4254213","4292806","4346918","4504123","5499483","99646678","100793111","100803483","101865855","102087459","74001596"
"純資産の部","","","","","","","","","","","","",""
"株主資本","","","","","","","","","","","","",""
"資本金","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000"
"資本剰余金","","","","","","","","","","","","",""
"資本剰余金 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"利益剰余金","","","","","","","","","","","","",""
"その他利益剰余金","","","","","","","","","","","","",""
"繰越利益剰余金","4951221","4951221","4951221","4951221","4951221","4951221","4951221","4951221","4951221","4951221","4951221","4951221","-3002319"
"当期純損益金額","0","198754","115607","165789","169495","27851","-157881","-4944728","-6279736","-6512646","-7220403","-7709726","0"
"その他利益剰余金 計","4951221","5149975","5066828","5117010","5120716","4979072","4793340","6493","-1328515","-1561425","-2269182","-2758505","-3002319"
"利益剰余金 計","4951221","5149975","5066828","5117010","5120716","4979072","4793340","6493","-1328515","-1561425","-2269182","-2758505","-3002319"
"株主資本 計","5051221","5249975","5166828","5217010","5220716","5079072","4893340","106493","-1228515","-1461425","-2169182","-2658505","-2902319"
"評価・換算差額等","","","","","","","","","","","","",""
"評価・換算差額等 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新株予約権","","","","","","","","","","","","",""
"新株予約権 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"純資産 計","5051221","5249975","5166828","5217010","5220716","5079072","4893340","106493","-1228515","-1461425","-2169182","-2658505","-2902319"
"負債及び純資産 計","6515475","6417441","9421041","9509816","9567634","9583195","10392823","99753171","99564596","99342058","99696673","99428954","71099277"
