"月次推移：損益計算書_株式会社はれのこ（期間：2022年06月～2023年05月、表示単位：円）"
"","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03","2023-04","2023-05","期間累計"
"売上高","","","","","","","","","","","","",""
"売上高","550000","550000","550000","550000","550000","550000","550000","550000","550000","1027400","550000","550000","7077400"
"売上高 計","550000","550000","550000","550000","550000","550000","550000","550000","550000","1027400","550000","550000","7077400"
"売上原価","","","","","","","","","","","","",""
"売上原価","0","0","0","0","0","0","0","0","0","0","0","0","0"
"期首商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期商品仕入","0","0","0","0","0","0","0","0","0","0","0","0","0"
"他勘定振替高(商)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"期末商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"商品売上原価","0","0","0","0","0","0","0","0","0","0","0","0","0"
"売上総損益金額","550000","550000","550000","550000","550000","550000","550000","550000","550000","1027400","550000","550000","7077400"
"販売管理費","","","","","","","","","","","","",""
"給料手当","0","0","0","0","7200","10200","0","6600","10800","10800","7200","6000","58800"
"広告宣伝費","0","0","0","0","0","0","0","137500","0","0","0","0","137500"
"交際費","0","38904","110099","74368","38176","63492","21050","92833","141450","76370","119682","113265","889689"
"旅費交通費","54990","181770","99490","170750","137350","157480","109980","130130","143310","157800","95850","87540","1526440"
"通信費","0","23518","13660","4706","0","3028","0","500","0","3380","500","0","49292"
"消耗品費","21171","215220","12639","19800","0","0","0","0","0","1839","0","0","270669"
"新聞図書費","0","0","4950","3190","0","0","0","1900","0","0","0","0","10040"
"支払手数料","31900","110","0","0","0","319041","361505","231000","220000","396000","220000","221100","2000656"
"租税公課","150000","300","0","1050","0","10832","900","0","1800","0","0","0","164882"
"販売管理費 計","258061","459822","240838","273864","182726","564073","493435","600463","517360","646189","443232","427905","5107968"
"営業損益金額","291939","90178","309162","276136","367274","-14073","56565","-50463","32640","381211","106768","122095","1969432"
"営業外収益","0","0","2387","205","436","1","1","1","7","1","12","2","3053"
"受取利息","0","0","0","0","1","1","1","1","2","1","2","2","11"
"雑収入","0","0","2387","205","435","0","0","0","5","0","10","0","3042"
"営業外費用","0","0","0","0","0","0","0","0","0","0","0","0","0"
"経常損益金額","291939","90178","311549","276341","367710","-14072","56566","-50462","32647","381212","106780","122097","1972485"
"特別利益","0","0","0","0","0","0","0","0","0","0","0","0","0"
"特別損失","0","0","0","0","0","0","0","0","0","0","0","0","0"
"税引前当期純損益金額","291939","90178","311549","276341","367710","-14072","56566","-50462","32647","381212","106780","122097","1972485"
"法人税等","0","0","0","0","0","0","0","0","0","0","0","505300","505300"
"法人税等","0","0","0","0","0","0","0","0","0","0","0","505300","505300"
"法人税等調整額","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期純損益金額","291939","90178","311549","276341","367710","-14072","56566","-50462","32647","381212","106780","-383203","1467185"
