"月次推移：損益計算書_株式会社はれのこ（期間：2025年06月～2026年05月、表示単位：円）"
"","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","2026-03","2026-04","2026-05","期間累計"
"売上高","","","","","","","","","","","","",""
"売上高","800000","800000","800000","800000","800000","800000","800000","800000","800000","800000","800000","800000","9600000"
"売上高 計","800000","800000","800000","800000","800000","800000","800000","800000","800000","800000","800000","800000","9600000"
"売上原価","","","","","","","","","","","","",""
"売上原価","0","0","0","0","0","0","0","0","0","0","0","0","0"
"期首商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期商品仕入","0","0","0","0","0","0","0","0","0","0","0","0","0"
"他勘定振替高(商)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"期末商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"商品売上原価","0","0","0","0","0","0","0","0","0","0","0","0","0"
"売上総損益金額","800000","800000","800000","800000","800000","800000","800000","800000","800000","800000","800000","800000","9600000"
"販売管理費","","","","","","","","","","","","",""
"役員報酬","92999","92999","92999","92999","92999","92999","92999","92999","92999","92999","92999","92999","1115988"
"給料手当","289999","382343","382343","404247","516144","491759","494852","543597","519103","522196","515472","411759","5473814"
"賞与","0","0","0","0","0","0","0","1100000","0","0","0","0","1100000"
"法定福利費","4718","48754","64678","64678","64558","67444","67444","67444","67444","67444","420016","86889","1091511"
"福利厚生費","0","0","0","30000","5000","5000","5000","5000","5000","5000","5000","5000","70000"
"旅費交通費","26400","15400","15400","17600","26400","35200","28310","26400","17600","30800","19800","8800","268110"
"通信費","10303","51019","12449","10519","7484","17264","20132","7484","7483","7483","47895","6132","205647"
"消耗品費","0","1535","6160","0","892","0","23949","275","0","0","0","0","32811"
"支払手数料","110725","110725","110715","109972","110715","111815","203258","111738","110858","858","429","55520","1147328"
"地代家賃","45498","45498","45498","45498","45498","45498","45498","45498","45498","45498","45498","45498","545976"
"租税公課","0","4240","0","0","52000","35238","3128000","0","0","612700","0","0","3832178"
"支払報酬料","22000","132000","22000","22000","22000","84676","1349700","22000","44000","-24510","22000","22000","1739866"
"減価償却費","0","0","0","0","0","0","0","0","0","0","0","46934","46934"
"販売管理費 計","602642","884513","752242","797513","943690","986893","5459142","2022435","909985","1360468","1169109","781531","16670163"
"営業損益金額","197358","-84513","47758","2487","-143690","-186893","-4659142","-1222435","-109985","-560468","-369109","18469","-7070163"
"営業外収益","1433","1403","2583","1232","2060","1178","1158","1129","2330","102","4850","568","20026"
"受取利息","1317","1300","2085","1108","1098","1104","1084","1055","2256","28","58","90","12583"
"雑収入","116","103","498","124","962","74","74","74","74","74","4792","478","7443"
"営業外費用","0","0","0","0","0","0","128846","113687","125056","147387","125056","191371","831403"
"支払利息","0","0","0","0","0","0","128846","113687","125056","147387","125056","191371","831403"
"経常損益金額","198791","-83110","50341","3719","-141630","-185715","-4786830","-1334993","-232711","-707753","-489315","-172334","-7881540"
"特別利益","0","0","0","0","0","0","0","0","0","0","0","28160000","28160000"
"補助金収入","0","0","0","0","0","0","0","0","0","0","0","28160000","28160000"
"特別損失","0","0","0","0","0","0","0","0","0","0","0","28160000","28160000"
"固定資産圧縮損","0","0","0","0","0","0","0","0","0","0","0","28160000","28160000"
"税引前当期純損益金額","198791","-83110","50341","3719","-141630","-185715","-4786830","-1334993","-232711","-707753","-489315","-172334","-7881540"
"法人税等","37","37","159","13","14","17","17","15","199","4","8","71480","72000"
"法人税等","37","37","159","13","14","17","17","15","199","4","8","71480","72000"
"法人税等調整額","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期純損益金額","198754","-83147","50182","3706","-141644","-185732","-4786847","-1335008","-232910","-707757","-489323","-243814","-7953540"
