"月次推移：損益計算書_株式会社はれのこ（期間：2023年06月～2024年05月、表示単位：円）"
"","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","期間累計"
"売上高","","","","","","","","","","","","",""
"売上高","550000","550000","550000","550000","0","500000","500000","1580000","0","1650000","1663000","1652000","9745000"
"売上高 計","550000","550000","550000","550000","0","500000","500000","1580000","0","1650000","1663000","1652000","9745000"
"売上原価","","","","","","","","","","","","",""
"売上原価","0","0","0","0","0","0","0","0","0","0","0","0","0"
"期首商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期商品仕入","0","0","0","0","0","0","0","0","0","0","0","0","0"
"他勘定振替高(商)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"期末商品棚卸","0","0","0","0","0","0","0","0","0","0","0","0","0"
"商品売上原価","0","0","0","0","0","0","0","0","0","0","0","0","0"
"売上総損益金額","550000","550000","550000","550000","0","500000","500000","1580000","0","1650000","1663000","1652000","9745000"
"販売管理費","","","","","","","","","","","","",""
"給料手当","8400","12000","6000","7200","13200","800066","800066","795266","797666","802466","797666","796466","5636462"
"法定福利費","0","0","0","0","0","108504","108504","108504","108504","106608","107556","164154","812334"
"福利厚生費","0","0","0","30000","0","0","0","0","0","0","0","0","30000"
"交際費","10098","0","18293","42050","254212","196798","412599","105134","155852","21681","72423","0","1289140"
"会議費","0","0","0","0","5480","0","0","3600","4500","3360","0","0","16940"
"旅費交通費","78630","109980","91650","127170","200670","263226","186253","126539","210439","144202","26400","22000","1587159"
"通信費","0","0","0","0","0","330","330","330","0","5200","552","10353","17095"
"消耗品費","79800","0","0","84800","0","2399","6880","1072","0","0","105566","0","280517"
"新聞図書費","0","0","0","0","0","0","0","8228","31284","3355","0","0","42867"
"支払手数料","220000","385580","276680","275870","497056","309825","298605","308580","297580","297725","407725","407870","3983096"
"租税公課","200","0","0","0","0","1000","300","1000","2600","900","0","0","6000"
"減価償却費","0","0","0","0","0","0","0","0","0","0","0","46933","46933"
"販売管理費 計","397128","507560","392623","567090","970618","1682148","1813537","1458253","1608425","1385497","1517888","1447776","13748543"
"営業損益金額","152872","42440","157377","-17090","-970618","-1182148","-1313537","121747","-1608425","264503","145112","204224","-4003543"
"営業外収益","6","1","1","1","849","1409","1974","1403","1319","1523","1284","2258","12028"
"受取利息","1","1","1","1","1","1","1947","1331","1316","1301","1284","1319","8504"
"雑収入","5","0","0","0","848","1408","27","72","3","222","0","939","3524"
"営業外費用","0","0","0","0","0","0","0","880","0","0","0","0","880"
"雑損失","0","0","0","0","0","0","0","880","0","0","0","0","880"
"経常損益金額","152878","42441","157378","-17089","-969769","-1180739","-1311563","122270","-1607106","266026","146396","206482","-3992395"
"特別利益","0","0","0","0","0","0","0","0","0","0","0","0","0"
"特別損失","0","0","0","0","0","0","0","0","0","0","0","0","0"
"税引前当期純損益金額","152878","42441","157378","-17089","-969769","-1180739","-1311563","122270","-1607106","266026","146396","206482","-3992395"
"法人税等","0","0","0","0","0","0","0","0","0","0","0","70000","70000"
"法人税等","0","0","0","0","0","0","0","0","0","0","0","70000","70000"
"法人税等調整額","0","0","0","0","0","0","0","0","0","0","0","0","0"
"当期純損益金額","152878","42441","157378","-17089","-969769","-1180739","-1311563","122270","-1607106","266026","146396","136482","-4062395"
