"月次推移：貸借対照表_株式会社はれのこ（期間：2024年06月～2025年05月、表示単位：円）"
"","期首","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05"
"資産の部","","","","","","","","","","","","",""
"流動資産","","","","","","","","","","","","",""
"GMOあおぞらネット（法人）（API） 102 法人第二営業部 普通預金（有利息） ***1461","756142","1018788","2370050","316849","2196094","2134594","1935882","42439","233081","415421","1038142","1350692","1814905"
"岩手（法人）（API）","0","0","0","0","230000","17228","232228","33258","327716","672246","786048","815402","929204"
"売掛金","1662352","1663000","11000","1663000","11000","11000","1663000","11000","11000","11000","11000","11000","0"
"立替金","0","6732","6732","6732","6732","38332","38332","38332","382992","382992","382992","382992","539142"
"未収還付法人税等","220507","220507","220507","57500","0","0","0","0","0","0","0","0","0"
"仮払金","0","0","0","0","0","0","0","555900","550000","550000","550000","550000","550000"
"流動資産 計","2639001","2909027","2608289","2044081","2443826","2201154","3869442","680929","1504789","2031659","2768182","3110086","3833251"
"固定資産","","","","","","","","","","","","",""
"有形固定資産","","","","","","","","","","","","",""
"一括償却資産","93867","93867","93867","93867","93867","93867","93867","93867","93867","93867","93867","93867","46934"
"有形固定資産 計","93867","93867","93867","93867","93867","93867","93867","93867","93867","93867","93867","93867","46934"
"無形固定資産","","","","","","","","","","","","",""
"投資その他の資産","","","","","","","","","","","","",""
"長期貸付金","1671044","1650233","1629406","1608563","1587705","1566831","1545941","1525036","1504115","1483178","1462226","1441274","1420290"
"保険積立金","0","0","0","0","5000","10000","15000","215000","415000","615000","815000","1015000","1215000"
"投資その他の資産 計","1671044","1650233","1629406","1608563","1592705","1576831","1560941","1740036","1919115","2098178","2277226","2456274","2635290"
"固定資産 計","1764911","1744100","1723273","1702430","1686572","1670698","1654808","1833903","2012982","2192045","2371093","2550141","2682224"
"資産 計","4403912","4653127","4331562","3746511","4130398","3871852","5524250","2514832","3517771","4223704","5139275","5660227","6515475"
"負債の部","","","","","","","","","","","","",""
"流動負債","","","","","","","","","","","","",""
"役員借入金","5285917","5008671","5170125","3890125","3890125","2891305","1891305","440","400440","400440","400440","400440","0"
"未払金","1286435","1449267","786972","1010744","807372","876879","1037766","918466","749196","659527","782873","522860","659971"
"未払法人税等","35000","35000","0","0","0","0","0","0","0","0","0","0","737300"
"前受金","0","0","0","0","0","0","1652000","0","0","0","0","0","0"
"預り金","291770","348474","62222","67740","73258","17669","25427","-153735","-145977","-138182","-117725","-80484","66983"
"流動負債 計","6899122","6841412","6019319","4968609","4770755","3785853","4606498","765171","1003659","921785","1065588","842816","1464254"
"固定負債","","","","","","","","","","","","",""
"負債 計","6899122","6841412","6019319","4968609","4770755","3785853","4606498","765171","1003659","921785","1065588","842816","1464254"
"純資産の部","","","","","","","","","","","","",""
"株主資本","","","","","","","","","","","","",""
"資本金","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000"
"資本剰余金","","","","","","","","","","","","",""
"資本剰余金 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"利益剰余金","","","","","","","","","","","","",""
"その他利益剰余金","","","","","","","","","","","","",""
"繰越利益剰余金","-2595210","-2595210","-2595210","-2595210","-2595210","-2595210","-2595210","-2595210","-2595210","-2595210","-2595210","-2595210","4951221"
"当期純損益金額","0","306925","807453","1273112","1854853","2581209","3412962","4244871","5009322","5797129","6568897","7312621","0"
"その他利益剰余金 計","-2595210","-2288285","-1787757","-1322098","-740357","-14001","817752","1649661","2414112","3201919","3973687","4717411","4951221"
"利益剰余金 計","-2595210","-2288285","-1787757","-1322098","-740357","-14001","817752","1649661","2414112","3201919","3973687","4717411","4951221"
"株主資本 計","-2495210","-2188285","-1687757","-1222098","-640357","85999","917752","1749661","2514112","3301919","4073687","4817411","5051221"
"評価・換算差額等","","","","","","","","","","","","",""
"評価・換算差額等 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新株予約権","","","","","","","","","","","","",""
"新株予約権 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"純資産 計","-2495210","-2188285","-1687757","-1222098","-640357","85999","917752","1749661","2514112","3301919","4073687","4817411","5051221"
"負債及び純資産 計","4403912","4653127","4331562","3746511","4130398","3871852","5524250","2514832","3517771","4223704","5139275","5660227","6515475"
