"月次推移：貸借対照表_株式会社はれのこ（期間：2023年06月～2024年05月、表示単位：円）"
"","期首","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05"
"資産の部","","","","","","","","","","","","",""
"流動資産","","","","","","","","","","","","",""
"GMOあおぞらネット（法人）（API） 102 法人第二営業部 普通預金（有利息） ***1461","2201292","2175781","1737569","1703925","1564274","1442835","1653873","878279","587076","910171","1161321","2890490","756142"
"売掛金","1577400","1100000","1100000","1100000","1100000","550000","500000","500000","1580000","1080000","1650000","1663000","1662352"
"立替金","0","0","0","0","0","0","0","0","0","0","0","-6056","0"
"未収還付法人税等","0","0","0","0","0","0","0","0","0","0","0","0","220507"
"未収入金","0","0","0","0","0","17679","17936","17679","17679","17679","178773","26603","0"
"仮払金","0","0","0","0","0","0","0","0","0","0","0","0","0"
"仮払法人税","0","0","0","0","0","0","0","0","255500","255500","255500","255500","0"
"流動資産 計","3778692","3275781","2837569","2803925","2664274","2010514","2171809","1395958","2440255","2263350","3245594","4829537","2639001"
"固定資産","","","","","","","","","","","","",""
"有形固定資産","","","","","","","","","","","","",""
"一括償却資産","0","0","0","0","0","140800","140800","140800","140800","140800","140800","140800","93867"
"有形固定資産 計","0","0","0","0","0","140800","140800","140800","140800","140800","140800","140800","93867"
"無形固定資産","","","","","","","","","","","","",""
"投資その他の資産","","","","","","","","","","","","",""
"長期貸付金","0","0","0","0","0","0","800000","1774868","1754134","1733385","1712621","1691840","1671044"
"投資その他の資産 計","0","0","0","0","0","0","800000","1774868","1754134","1733385","1712621","1691840","1671044"
"固定資産 計","0","0","0","0","0","140800","940800","1915668","1894934","1874185","1853421","1832640","1764911"
"資産 計","3778692","3275781","2837569","2803925","2664274","2151314","3112609","3311626","4335189","4137535","5099015","6662177","4403912"
"負債の部","","","","","","","","","","","","",""
"流動負債","","","","","","","","","","","","",""
"短期借入金","500000","0","0","0","0","0","0","0","0","0","0","0","0"
"役員借入金","8690","0","0","109943","279163","685395","2047446","3567135","4068207","5062153","5675619","7263041","5285917"
"未払金","1183082","1049758","1074038","772890","480888","513382","1225028","1155175","1582316","1937152","1934123","1702797","1286435"
"未払法人税等","505300","505300","0","0","0","0","0","0","0","0","0","0","35000"
"預り金","14435","660","1027","1210","1430","19513","87850","148594","121674","182344","243161","303831","291770"
"仮受金","0","0","0","0","0","0","0","0","0","0","24200","24200","0"
"流動負債 計","2211507","1555718","1075065","884043","761481","1218290","3360324","4870904","5772197","7181649","7877103","9293869","6899122"
"固定負債","","","","","","","","","","","","",""
"負債 計","2211507","1555718","1075065","884043","761481","1218290","3360324","4870904","5772197","7181649","7877103","9293869","6899122"
"純資産の部","","","","","","","","","","","","",""
"株主資本","","","","","","","","","","","","",""
"資本金","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000"
"資本剰余金","","","","","","","","","","","","",""
"資本剰余金 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"利益剰余金","","","","","","","","","","","","",""
"その他利益剰余金","","","","","","","","","","","","",""
"繰越利益剰余金","1467185","1467185","1467185","1467185","1467185","1467185","1467185","1467185","1467185","1467185","1467185","1467185","-2595210"
"当期純損益金額","0","152878","195319","352697","335608","-634161","-1814900","-3126463","-3004193","-4611299","-4345273","-4198877","0"
"その他利益剰余金 計","1467185","1620063","1662504","1819882","1802793","833024","-347715","-1659278","-1537008","-3144114","-2878088","-2731692","-2595210"
"利益剰余金 計","1467185","1620063","1662504","1819882","1802793","833024","-347715","-1659278","-1537008","-3144114","-2878088","-2731692","-2595210"
"株主資本 計","1567185","1720063","1762504","1919882","1902793","933024","-247715","-1559278","-1437008","-3044114","-2778088","-2631692","-2495210"
"評価・換算差額等","","","","","","","","","","","","",""
"評価・換算差額等 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新株予約権","","","","","","","","","","","","",""
"新株予約権 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"純資産 計","1567185","1720063","1762504","1919882","1902793","933024","-247715","-1559278","-1437008","-3044114","-2778088","-2631692","-2495210"
"負債及び純資産 計","3778692","3275781","2837569","2803925","2664274","2151314","3112609","3311626","4335189","4137535","5099015","6662177","4403912"
