"月次推移：貸借対照表_医療法人きたかみ腎クリニック（期間：2025年08月～2026年07月、表示単位：円）"
"","期首","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","2026-03","2026-04","2026-05","2026-06","2026-07"
"別途積立金","0","1000000","1000000","1000000","1000000","1045000","1045000","1047000","1049000","1129000","1209000","1315000","0"
"繰越利益剰余金","-82203007","-83203007","-83203007","-83203007","-83203007","-83248007","-83248007","-83250007","-83252007","-83332007","-83412007","-83518007","-82203007"
"当期純損益金額","0","2391381","11108585","7344417","8565236","17830848","30899224","37648534","47163312","52854493","66026144","77479455","125936229"
"その他利益剰余金 計","-82203007","-79811626","-71094422","-74858590","-73637771","-64372159","-51303783","-44554473","-35039695","-29348514","-16176863","-4723552","43733222"
"利益剰余金 計","-82203007","-79811626","-71094422","-74858590","-73637771","-64372159","-51303783","-44554473","-35039695","-29348514","-16176863","-4723552","43733222"
"株主資本 計","-82203007","-79811626","-71094422","-74858590","-73637771","-64372159","-51303783","-44554473","-35039695","-29348514","-16176863","-4723552","43733222"
"評価・換算差額等","","","","","","","","","","","","",""
"評価・換算差額等 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新株予約権","","","","","","","","","","","","",""
"新株予約権 計","0","0","0","0","0","0","0","0","0","0","0","0","0"
"純資産 計","-82203007","-79811626","-71094422","-74858590","-73637771","-64372159","-51303783","-44554473","-35039695","-29348514","-16176863","-4723552","43733222"
"負債及び純資産 計","289371660","290085114","287076563","289758495","296868809","295774283","298101740","314849658","324823022","318460691","323020221","317756048","366383245"
