"","勘定科目","補助科目","10月","11月","12月","1月","2月","3月","4月","5月","6月","7月","8月","9月","決算整理"
"","","安中原市物件","80000","0","0","42500","42500","42500","42500","42500","42500","42500","42500","42500","42500"
"固定負債合計","","","53812530","53732530","61636696","61783266","61687240","58194900","58255386","58307986","58115068","58018464","57921764","57824967","57824967"
"負債の部合計","","","54358440","54209120","62131918","62300322","62193493","58695323","58767471","58817688","58614154","58517554","58525056","58428506","58428506"
"純資産の部"
"株主資本"
"資本金"
"","資本金","","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"資本金合計","","","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"新株式申込証拠金"
"新株式申込証拠金合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"資本剰余金"
"資本剰余金合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"利益剰余金"
"繰越利益剰余金","","","-4653314","-4557833","-4391354","-4232766","-4036783","-3811591","-3724887","-3502543","-3276254","-3078649","-2317062","-2290430","-2290430"
"（うち当期純利益）","","","146856","242337","408816","567404","763387","988579","1075283","1297627","1523916","1721521","2483108","2509740","2509740"
"利益剰余金合計","","","-4653314","-4557833","-4391354","-4232766","-4036783","-3811591","-3724887","-3502543","-3276254","-3078649","-2317062","-2290430","-2290430"
"自己株式"
"自己株式合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"自己株式申込証拠金"
"自己株式申込証拠金合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"株主資本合計","","","-3653314","-3557833","-3391354","-3232766","-3036783","-2811591","-2724887","-2502543","-2276254","-2078649","-1317062","-1290430","-1290430"
"評価・換算差額等"
"評価・換算差額等合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新株予約権"
"新株予約権合計","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"純資産の部合計","","","-3653314","-3557833","-3391354","-3232766","-3036783","-2811591","-2724887","-2502543","-2276254","-2078649","-1317062","-1290430","-1290430"
"負債・純資産の部合計","","","50705126","50651287","58740564","59067556","59156710","55883732","56042584","56315145","56337900","56438905","57207994","57138076","57138076"
